Rank,Player,Team,Matches Played,Elims,Avg Dmg Dealt,Damage Dealt,Assists,Knocks,Headshots,KD Ratio,Max Elim Range,Survival Time,Damage Received,Healing Done,Deaths,Smokes Used,Grenades Used,Grenade Elims,Airdrops Taken,Distance Driven,Distance Walked,Distance Traveled,Stage
1.0,NoFear,Horaa Esports,6.0,19.0,566.0,3396.0,5.0,10.0,2.0,3.17,379.0,5977.0,1163.0,956.0,5.0,16.0,13.0,1.0,0.0,26987.0,7634.0,34621.0,Group A
2.0,SkY,Horaa Esports,6.0,15.0,481.0,2888.0,5.0,9.0,2.0,2.5,345.0,4737.0,938.0,577.0,5.0,10.0,16.0,3.0,0.0,22788.0,7706.0,30494.0,Group A
3.0,SleepY,Horaa Esports,6.0,13.0,487.0,2924.0,7.0,11.0,5.0,2.17,325.0,5966.0,1279.0,797.0,5.0,12.0,13.0,1.0,1.0,24081.0,8238.0,32319.0,Group A
4.0,robbzOP,Boars Gaming,6.0,13.0,352.0,2112.0,2.0,7.0,0.0,2.17,29.0,5392.0,1175.0,814.0,6.0,12.0,8.0,1.0,0.0,22988.0,6827.0,29815.0,Group A
5.0,Lost,S2G Esports,6.0,12.0,270.0,1622.0,2.0,4.0,0.0,2.0,252.0,3925.0,831.0,222.0,4.0,5.0,9.0,4.0,0.0,14309.0,6003.0,20312.0,Group A
6.0,Darkin,IDA Esports,6.0,11.0,440.0,2645.0,4.0,14.0,4.0,1.83,222.0,5043.0,793.0,294.0,6.0,16.0,6.0,1.0,0.0,21685.0,5916.0,27601.0,Group A
7.0,Zeta,VOIN Esports,6.0,10.0,546.0,3277.0,1.0,9.0,4.0,1.67,303.0,5563.0,1012.0,1008.0,6.0,10.0,4.0,0.0,0.0,32279.0,6652.0,38931.0,Group A
8.0,REFUS,Aurora Gaming,6.0,10.0,415.0,2490.0,3.0,10.0,1.0,1.67,229.0,4478.0,1306.0,1020.0,6.0,14.0,23.0,3.0,0.0,19415.0,6837.0,26252.0,Group A
9.0,TernyK,eArena,6.0,10.0,334.0,2007.0,4.0,7.0,0.0,1.67,367.0,5483.0,1303.0,1195.0,4.0,25.0,14.0,1.0,0.0,22997.0,6700.0,29697.0,Group A
10.0,Chieff,FURIA,6.0,10.0,285.0,1712.0,3.0,8.0,1.0,1.67,282.0,4309.0,1068.0,264.0,6.0,6.0,6.0,1.0,0.0,13592.0,6880.0,20472.0,Group A
11.0,Ayala,FURIA,6.0,9.0,355.0,2134.0,3.0,5.0,1.0,1.5,177.0,4769.0,1041.0,403.0,6.0,11.0,2.0,1.0,0.0,22105.0,6789.0,28894.0,Group A
12.0,Quick,AlUla Club Esports,6.0,9.0,324.0,1945.0,1.0,7.0,2.0,1.5,322.0,4254.0,1066.0,466.0,6.0,8.0,7.0,1.0,0.0,13082.0,6986.0,20068.0,Group A
13.0,Frenzzy,Team Pandum,6.0,9.0,294.0,1767.0,4.0,2.0,0.0,1.5,129.0,5932.0,667.0,829.0,5.0,16.0,8.0,3.0,0.0,39972.0,7797.0,47769.0,Group A
14.0,Higor,FURIA,6.0,9.0,281.0,1691.0,1.0,7.0,2.0,1.5,335.0,4245.0,1281.0,620.0,6.0,5.0,6.0,1.0,0.0,26337.0,4539.0,30876.0,Group A
15.0,Zyol,Aurora Gaming,6.0,9.0,275.0,1651.0,4.0,10.0,1.0,1.5,351.0,5176.0,1189.0,773.0,6.0,17.0,14.0,1.0,0.0,28215.0,6461.0,34676.0,Group A
16.0,Snowix,Boars Gaming,6.0,8.0,333.0,1998.0,1.0,9.0,0.0,1.33,61.0,5708.0,1149.0,982.0,6.0,21.0,14.0,0.0,2.0,25786.0,7778.0,33564.0,Group A
17.0,Focus,GOAT Team,6.0,8.0,310.0,1862.0,4.0,5.0,1.0,1.33,334.0,5451.0,818.0,365.0,6.0,14.0,10.0,0.0,0.0,21322.0,8561.0,29883.0,Group A
18.0,FALAK,4Thrives Esports,6.0,8.0,287.0,1723.0,2.0,5.0,1.0,1.33,152.0,4785.0,1222.0,504.0,6.0,10.0,9.0,2.0,0.0,28562.0,6457.0,35019.0,Group A
19.0,JooBrenky,Team Pandum,6.0,8.0,284.0,1704.0,5.0,7.0,2.0,1.33,114.0,5656.0,963.0,560.0,5.0,12.0,8.0,1.0,0.0,28210.0,7807.0,36017.0,Group A
