Player,Team,Elims,Avg Dmg Dealt,Assists,Knocks,KD Ratio,Stage
NoFear,Horaa Esports,19.0,566.0,5.0,10.0,3.17,Group A
SkY,Horaa Esports,15.0,481.0,5.0,9.0,2.5,Group A
SleepY,Horaa Esports,13.0,487.0,7.0,11.0,2.17,Group A
robbzOP,Boars Gaming,13.0,352.0,2.0,7.0,2.17,Group A
Lost,S2G Esports,12.0,270.0,2.0,4.0,2.0,Group A
Darkin,IDA Esports,11.0,440.0,4.0,14.0,1.83,Group A
Zeta,VOIN Esports,10.0,546.0,1.0,9.0,1.67,Group A
REFUS,Aurora Gaming,10.0,415.0,3.0,10.0,1.67,Group A
TernyK,eArena,10.0,334.0,4.0,7.0,1.67,Group A
Chieff,FURIA,10.0,285.0,3.0,8.0,1.67,Group A
Ayala,FURIA,9.0,355.0,3.0,5.0,1.5,Group A
Quick,AlUla Club Esports,9.0,324.0,1.0,7.0,1.5,Group A
Frenzzy,Team Pandum,9.0,294.0,4.0,2.0,1.5,Group A
Higor,FURIA,9.0,281.0,1.0,7.0,1.5,Group A
Zyol,Aurora Gaming,9.0,275.0,4.0,10.0,1.5,Group A
Snowix,Boars Gaming,8.0,333.0,1.0,9.0,1.33,Group A
Focus,GOAT Team,8.0,310.0,4.0,5.0,1.33,Group A
FALAK,4Thrives Esports,8.0,287.0,2.0,5.0,1.33,Group A
JooBrenky,Team Pandum,8.0,284.0,5.0,7.0,1.33,Group A
Emre7,IDA Esports,8.0,259.0,5.0,5.0,1.33,Group A
MORMAN,eArena,8.0,236.0,1.0,5.0,1.33,Group A
Swajn,IDA Esports,7.0,394.0,5.0,5.0,1.17,Group A
TOP,Aurora Gaming,7.0,382.0,2.0,5.0,1.17,Group A
IQ,4Thrives Esports,7.0,175.0,0.0,4.0,1.17,Group A
Rehan,721 Esports,7.0,172.0,1.0,5.0,1.17,Group A
Y4SR,AlUla Club Esports,7.0,160.0,1.0,2.0,1.17,Group A
MALIK,721 Esports,6.0,267.0,1.0,2.0,1.0,Group A
FORCE,GOAT Team,6.0,255.0,2.0,5.0,1.0,Group A
LeonDZ,Team Pandum,6.0,250.0,7.0,6.0,1.0,Group A
T24OP,4Thrives Esports,6.0,248.0,2.0,2.0,1.0,Group A
Dimzy,Team Pandum,6.0,247.0,3.0,7.0,1.0,Group A
Zhius,Team Flash,6.0,201.0,1.0,3.0,1.0,Group A
win,Team Plash,6.0,187.0,0.0,6.0,1.0,Group A
JiGGL3,Horaa Esports,6.0,186.0,3.0,3.0,1.0,Group A
HamsiG,S2G Esports,5.0,223.0,3.0,3.0,0.83,Group A
Kamikaze,S2G Esports,5.0,173.0,1.0,4.0,0.83,Group A
Apkrino,ETSH Esports,5.0,168.0,0.0,1.0,0.83,Group A
Rita,IDA Esports,5.0,149.0,6.0,3.0,0.83,Group A
WAGNERZADA,Boars Gaming,4.0,407.0,5.0,4.0,0.67,Group A
Bowz,Team Flash,4.0,200.0,2.0,3.0,0.67,Group A
