Rank,Team,Total Points,Survival Time,Damage Received,Healing Done,Avg Dmg Dealt,Damage Dealt,Assists,Knocks,Headshots,Max Elim Range,Smokes Used,Grenades Used,Grenade Elims,Teammates Rescued,Airdrops Taken,Distance Driven,Distance Walked,Distance Traveled,Stage
1.0,Horaa Esports,75.0,22544.0,4422.0,3157.0,1721.0,10327.0,20.0,33.0,10.0,379.0,54.0,46.0,5.0,9.0,1.0,112874.0,30879.0,143753.0,Group A
2.0,eArena,48.0,19192.0,4398.0,3204.0,906.0,5436.0,10.0,14.0,3.0,367.0,76.0,27.0,3.0,8.0,2.0,107138.0,25841.0,132979.0,Group A
3.0,Team Pandum,46.0,21053.0,3570.0,3094.0,1075.0,6455.0,19.0,22.0,4.0,129.0,43.0,27.0,6.0,4.0,0.0,131265.0,27101.0,158366.0,Group A
4.0,S2G Esports,44.0,15865.0,3370.0,857.0,785.0,4713.0,11.0,11.0,2.0,254.0,12.0,19.0,4.0,4.0,3.0,64187.0,21046.0,85233.0,Group A
5.0,Aurora Gaming,42.0,19646.0,5028.0,3526.0,1255.0,7531.0,13.0,31.0,5.0,355.0,44.0,54.0,4.0,9.0,0.0,98609.0,27482.0,126091.0,Group A
6.0,FURIA,41.0,17434.0,4957.0,1993.0,1153.0,6920.0,12.0,23.0,4.0,335.0,32.0,18.0,4.0,7.0,0.0,75254.0,25730.0,100984.0,Group A
7.0,Boars Gaming,40.0,22021.0,3937.0,3198.0,1193.0,7161.0,10.0,23.0,3.0,203.0,52.0,36.0,2.0,6.0,3.0,100170.0,24737.0,124907.0,Group A
8.0,IDA Esports,39.0,20467.0,4151.0,2108.0,1244.0,7468.0,20.0,27.0,6.0,222.0,46.0,29.0,7.0,5.0,1.0,96500.0,24645.0,121145.0,Group A
9.0,VOIN Esports,35.0,19963.0,3996.0,3451.0,918.0,5513.0,2.0,14.0,5.0,303.0,35.0,10.0,0.0,8.0,0.0,124277.0,23039.0,147316.0,Group A
10.0,4Thrives Esports,32.0,16948.0,4037.0,1143.0,1027.0,6167.0,7.0,18.0,2.0,236.0,24.0,12.0,4.0,2.0,0.0,117885.0,21251.0,139136.0,Group A
11.0,GOAT Team,30.0,19692.0,3471.0,1220.0,889.0,5336.0,9.0,16.0,4.0,334.0,50.0,32.0,1.0,4.0,0.0,87794.0,26347.0,114141.0,Group A
12.0,AlUla Club Esports,28.0,17260.0,4310.0,2241.0,773.0,4639.0,6.0,14.0,3.0,322.0,47.0,18.0,3.0,7.0,1.0,64094.0,22716.0,86810.0,Group A
13.0,721 Esports,25.0,17786.0,3733.0,1137.0,744.0,4464.0,4.0,11.0,3.0,236.0,25.0,12.0,1.0,4.0,0.0,85299.0,21949.0,107248.0,Group A
14.0,Team Flash,21.0,13997.0,3707.0,3390.0,715.0,4291.0,5.0,14.0,3.0,272.0,45.0,25.0,2.0,1.0,0.0,101018.0,16436.0,117454.0,Group A
15.0,Alpha7 Esports,19.0,16802.0,3146.0,2413.0,626.0,3756.0,10.0,16.0,4.0,302.0,20.0,14.0,0.0,2.0,1.0,104857.0,23119.0,127976.0,Group A
16.0,ETSH Esports,15.0,18150.0,3450.0,1138.0,519.0,3115.0,5.0,5.0,0.0,430.0,27.0,9.0,3.0,7.0,0.0,111750.0,22163.0,133913.0,Group A
1.0,Bigetron by Vitality,82.0,36776.0,8038.0,5789.0,1664.0,9985.0,35.0,45.0,8.0,370.0,97.0,73.0,7.0,19.0,2.0,232609.0,42918.0,275527.0,Group B
2.0,ULF Esports,62.0,30494.0,7085.0,3737.0,1529.0,9179.0,25.0,45.0,5.0,289.0,65.0,82.0,7.0,9.0,0.0,143634.0,37016.0,180650.0,Group B
3.0,Gaming Stars Esports,60.0,34942.0,5792.0,3217.0,1444.0,8668.0,21.0,37.0,12.0,361.0,52.0,43.0,4.0,8.0,1.0,164544.0,48794.0,213338.0,Group B
4.0,TT Project,48.0,28993.0,5527.0,6852.0,1267.0,7602.0,28.0,33.0,8.0,311.0,59.0,42.0,3.0,9.0,2.0,197152.0,37636.0,234788.0,Group B
5.0,Geekay Esports,46.0,25882.0,4692.0,3244.0,908.0,5449.0,17.0,26.0,5.0,372.0,49.0,47.0,0.0,10.0,0.0,145590.0,32881.0,178471.0,Group B
6.0,BOOM Esports,41.0,31424.0,7065.0,4637.0,1229.0,7375.0,14.0,31.0,4.0,366.0,61.0,49.0,5.0,8.0,4.0,185939.0,41618.0,227557.0,Group B
7.0,Wolves Esports,36.0,29394.0,7876.0,4421.0,917.0,5506.0,4.0,22.0,3.0,279.0,66.0,39.0,3.0,17.0,2.0,146350.0,36373.0,182723.0,Group B
8.0,XForce Rejects,33.0,28160.0,5277.0,2119.0,815.0,4894.0,10.0,21.0,6.0,295.0,45.0,19.0,0.0,3.0,1.0,136888.0,37184.0,174072.0,Group B
9.0,The Vicious,32.0,25905.0,5270.0,2055.0,939.0,5636.0,12.0,24.0,4.0,211.0,45.0,25.0,3.0,4.0,0.0,196036.0,32401.0,228437.0,Group B
10.0,Loops Esports,27.0,31108.0,5545.0,1711.0,939.0,5634.0,19.0,25.0,5.0,315.0,41.0,22.0,1.0,2.0,0.0,123270.0,41892.0,165162.0,Group B
11.0,R8 Esports,26.0,26362.0,6011.0,2348.0,848.0,5089.0,11.0,26.0,4.0,287.0,45.0,26.0,3.0,6.0,0.0,123756.0,35528.0,159284.0,Group B
12.0,FUT Esports,23.0,27890.0,5202.0,1653.0,778.0,4671.0,7.0,20.0,2.0,308.0,35.0,38.0,3.0,2.0,0.0,175713.0,36408.0,212121.0,Group B
13.0,Nigma Galaxy,20.0,29343.0,5327.0,3195.0,828.0,4971.0,11.0,19.0,4.0,200.0,35.0,20.0,0.0,4.0,1.0,165678.0,40426.0,206104.0,Group B
14.0,Trained to Kill,18.0,26480.0,4987.0,1956.0,552.0,3317.0,6.0,14.0,4.0,301.0,29.0,13.0,0.0,5.0,0.0,171678.0,31164.0,202842.0,Group B
15.0,RRQ RYU,12.0,20474.0,4411.0,1227.0,571.0,3428.0,8.0,16.0,1.0,281.0,24.0,11.0,1.0,4.0,0.0,109204.0,29078.0,138282.0,Group B
16.0,Hustler Crew,10.0,28521.0,5144.0,1841.0,368.0,2209.0,0.0,9.0,0.0,373.0,32.0,13.0,0.0,4.0,0.0,126087.0,33711.0,159798.0,Group B
1.0,Team Flash,69.0,33040.0,4920.0,2507.0,1531.0,9188.0,25.0,39.0,8.0,366.0,72.0,57.0,6.0,6.0,1.0,146720.0,42286.0,189006.0,Survival Stage
2.0,GOAT Team,60.0,33436.0,5868.0,2695.0,1315.0,7891.0,28.0,34.0,7.0,351.0,88.0,58.0,2.0,5.0,0.0,179540.0,43177.0,222717.0,Survival Stage
3.0,4Thrives Esports,57.0,29125.0,6485.0,2673.0,1252.0,7517.0,20.0,39.0,9.0,378.0,80.0,44.0,6.0,6.0,3.0,170036.0,37992.0,208028.0,Survival Stage
4.0,721 Esports,45.0,27941.0,6106.0,1981.0,799.0,4796.0,11.0,20.0,1.0,251.0,42.0,18.0,2.0,8.0,0.0,124600.0,36250.0,160850.0,Survival Stage
5.0,AlUla Club Esports,44.0,30202.0,6328.0,3143.0,1014.0,6084.0,24.0,32.0,7.0,173.0,56.0,22.0,3.0,5.0,1.0,213308.0,34765.0,248073.0,Survival Stage
