Participant,Game,Placement,Kill Points,Placement Points,Game Total Points,Cumulative Points
4Thrives,1,10,2,0,2,2
4Thrives,2,1,9,10,19,21
4Thrives,3,3,8,5,13,34
4Thrives,4,16,0,0,0,34
4Thrives,5,1,16,10,26,60
4Thrives,6,1,12,10,22,82
4Thrives,7,4,16,4,20,102
4Thrives,8,14,5,0,5,107
4Thrives,9,8,1,1,2,109
4Thrives,10,13,3,0,3,112
4Thrives,11,9,1,0,1,113
4Thrives,12,3,4,5,9,122
721 Esports,1,4,9,4,13,13
721 Esports,2,3,5,5,10,23
721 Esports,3,16,1,0,1,24
721 Esports,4,2,10,6,16,40
721 Esports,5,13,3,0,3,43
721 Esports,6,14,3,0,3,46
721 Esports,7,9,2,0,2,48
721 Esports,8,11,1,0,1,49
721 Esports,9,15,0,0,0,49
721 Esports,10,15,0,0,0,49
721 Esports,11,16,1,0,1,50
721 Esports,12,13,1,0,1,51
Aurora,1,16,2,0,2,2
Aurora,2,13,4,0,4,6
Aurora,3,10,5,0,5,11
Aurora,4,4,5,4,9,20
Aurora,5,3,12,5,17,37
Aurora,6,4,6,4,10,47
Aurora,7,6,0,2,2,49
Aurora,8,15,2,0,2,51
Aurora,9,7,2,1,3,54
Aurora,10,14,1,0,1,55
Aurora,11,11,1,0,1,56
Aurora,12,1,7,10,17,73
BOOM Esports,1,6,6,2,8,8
BOOM Esports,2,10,2,0,2,10
BOOM Esports,3,9,4,0,4,14
BOOM Esports,4,8,2,1,3,17
BOOM Esports,5,5,2,3,5,22
BOOM Esports,6,3,4,5,9,31
BOOM Esports,7,3,14,5,19,50
BOOM Esports,8,16,0,0,0,50
BOOM Esports,9,14,0,0,0,50
BOOM Esports,10,2,9,6,15,65
BOOM Esports,11,10,3,0,3,68
BOOM Esports,12,10,3,0,3,71
Bigetron,1,15,1,0,1,1
Bigetron,2,4,8,4,12,13
Bigetron,3,13,3,0,3,16
Bigetron,4,14,0,0,0,16
Bigetron,5,10,4,0,4,20
Bigetron,6,16,1,0,1,21
Bigetron,7,12,7,0,7,28
Bigetron,8,2,7,6,13,41
Bigetron,9,6,2,2,4,45
Bigetron,10,10,4,0,4,49
Bigetron,11,7,1,1,2,51
Bigetron,12,11,2,0,2,53
FURIA,1,1,16,10,26,26
FURIA,2,8,10,1,11,37
FURIA,3,12,0,0,0,37
FURIA,4,12,2,0,2,39
FURIA,5,4,3,4,7,46
FURIA,6,10,2,0,2,48
FURIA,7,13,2,0,2,50
FURIA,8,9,3,0,3,53
FURIA,9,1,11,10,21,74
FURIA,10,7,0,1,1,75
FURIA,11,13,3,0,3,78
FURIA,12,2,13,6,19,97
GOAT Team,1,5,4,3,7,7
GOAT Team,2,6,1,2,3,10
GOAT Team,3,5,2,3,5,15
GOAT Team,4,5,9,3,12,27
GOAT Team,5,2,4,6,10,37
GOAT Team,6,5,9,3,12,49
GOAT Team,7,15,1,0,1,50
GOAT Team,8,12,0,0,0,50
GOAT Team,9,10,4,0,4,54
GOAT Team,10,3,5,5,10,64
GOAT Team,11,14,2,0,2,66
GOAT Team,12,7,8,1,9,75
Gaming Stars,1,8,7,1,8,8
Gaming Stars,2,11,1,0,1,9
Gaming Stars,3,4,4,4,8,17
Gaming Stars,4,6,3,2,5,22
Gaming Stars,5,15,0,0,0,22
Gaming Stars,6,6,3,2,5,27
Gaming Stars,7,7,8,1,9,36
Gaming Stars,8,8,4,1,5,41
Gaming Stars,9,9,5,0,5,46
Gaming Stars,10,5,0,3,3,49
Gaming Stars,11,15,4,0,4,53
Gaming Stars,12,5,3,3,6,59
Geekay,1,7,6,1,7,7
Geekay,2,9,0,0,0,7
Geekay,3,8,3,1,4,11
Geekay,4,1,9,10,19,30
Geekay,5,6,3,2,5,35
Geekay,6,15,1,0,1,36
Geekay,7,10,0,0,0,36
Geekay,8,3,4,5,9,45
Geekay,9,3,3,5,8,53
Geekay,10,16,0,0,0,53
Geekay,11,12,1,0,1,54
Geekay,12,12,0,0,0,54
Horaa Esports,1,2,17,6,23,23
Horaa Esports,2,14,0,0,0,23
Horaa Esports,3,11,3,0,3,26
Horaa Esports,4,10,1,0,1,27
Horaa Esports,5,11,1,0,1,28
Horaa Esports,6,9,3,0,3,31
Horaa Esports,7,16,5,0,5,36
Horaa Esports,8,13,4,0,4,40
Horaa Esports,9,13,0,0,0,40
Horaa Esports,10,6,5,2,7,47
Horaa Esports,11,6,6,2,8,55
Horaa Esports,12,14,4,0,4,59
Pandum,1,13,1,0,1,1
Pandum,2,12,1,0,1,2
Pandum,3,14,0,0,0,2
Pandum,4,7,0,1,1,3
Pandum,5,16,0,0,0,3
Pandum,6,2,1,6,7,10
Pandum,7,14,4,0,4,14
Pandum,8,7,1,1,2,16
Pandum,9,12,0,0,0,16
Pandum,10,12,2,0,2,18
Pandum,11,8,1,1,2,20
Pandum,12,4,6,4,10,30
S2G Esports,1,14,0,0,0,0
S2G Esports,2,15,0,0,0,0
S2G Esports,3,2,3,6,9,9
S2G Esports,4,13,6,0,6,15
S2G Esports,5,8,4,1,5,20
S2G Esports,6,8,3,1,4,24
S2G Esports,7,2,6,6,12,36
S2G Esports,8,4,5,4,9,45
S2G Esports,9,16,0,0,0,45
S2G Esports,10,9,2,0,2,47
S2G Esports,11,1,17,10,27,74
S2G Esports,12,6,7,2,9,83
TT Project,1,12,5,0,5,5
TT Project,2,16,1,0,1,6
TT Project,3,15,1,0,1,7
TT Project,4,3,4,5,9,16
TT Project,5,12,2,0,2,18
TT Project,6,13,4,0,4,22
TT Project,7,1,10,10,20,42
TT Project,8,5,9,3,12,54
TT Project,9,4,7,4,11,65
TT Project,10,11,2,0,2,67
TT Project,11,4,5,4,9,76
TT Project,12,16,1,0,1,77
Team Flash,1,9,2,0,2,2
Team Flash,2,5,5,3,8,10
Team Flash,3,7,2,1,3,13
Team Flash,4,9,1,0,1,14
Team Flash,5,7,2,1,3,17
Team Flash,6,7,6,1,7,24
Team Flash,7,8,9,1,10,34
Team Flash,8,10,0,0,0,34
Team Flash,9,11,2,0,2,36
Team Flash,10,1,9,10,19,55
Team Flash,11,2,7,6,13,68
Team Flash,12,8,0,1,1,69
ULF Esports,1,3,5,5,10,10
ULF Esports,2,7,5,1,6,16
ULF Esports,3,1,13,10,23,39
ULF Esports,4,15,0,0,0,39
ULF Esports,5,9,3,0,3,42
ULF Esports,6,12,0,0,0,42
ULF Esports,7,5,6,3,9,51
ULF Esports,8,6,3,2,5,56
ULF Esports,9,2,17,6,23,79
ULF Esports,10,4,16,4,20,99
ULF Esports,11,5,2,3,5,104
ULF Esports,12,9,0,0,0,104
eArena,1,11,4,0,4,4
eArena,2,2,6,6,12,16
eArena,3,6,8,2,10,26
eArena,4,11,5,0,5,31
eArena,5,14,2,0,2,33
eArena,6,11,4,0,4,37
eArena,7,11,3,0,3,40
eArena,8,1,12,10,22,62
eArena,9,5,6,3,9,71
eArena,10,8,0,1,1,72
eArena,11,3,5,5,10,82
eArena,12,15,1,0,1,83
