Group Stage: Group B Statistics,,,,,,,,,,,,,,,,,,,,,,
#,Player,Team,"Matches
Played",Elims,"Avg. Dmg.
Dealt","Damage
Dealt",Assists,Knocks,"Head
Shots","KD
Ratio","Max Elim
Range","Survival
Time","Damage
Received","Healing
Done",Deaths,"Smokes
Used","Grenades
Used","Grenade
Elims","Airdrops
Taken","Distance
Driven","Distance
Walked","Distance
Traveled"
1,Eren7,ULF Esports,6,17,607,"3,642",9,22,0,2.83,221,"8,757","1,493",959,5,24,27,2,0,"37,138","11,181","48,319"
2,FEDERALES,Bigetron by Vitality,6,17,565,"3,390",10,20,1,2.83,327,"9,587","2,067","1,524",5,41,36,2,0,"52,530","10,901","63,431"
3,Kecth,ULF Esports,6,15,443,"2,659",6,13,1,2.5,289,"8,212","1,788",977,5,17,23,4,0,"45,354","9,782","55,136"
4,NEOZ,TT Project,6,14,478,"2,873",12,13,2,2.33,264,"7,483","1,358","1,773",6,20,19,1,1,"54,336","9,275","63,611"
5,Yummy,BOOM Esports,6,14,466,"2,799",3,15,2,2.33,366,"8,299","2,117","1,259",6,15,21,4,1,"51,996","12,956","64,952"
6,Reyzak,Bigetron by Vitality,6,13,389,"2,335",8,11,3,2.17,370,"8,965","2,149","1,644",5,19,9,2,0,"48,451","11,354","59,805"
7,EZ4BADBOY,Geekay Esports,6,13,355,"2,132",4,13,3,2.17,173,"6,652","1,336","1,006",5,14,15,0,0,"34,964","8,565","43,529"
8,ZERYCH,TT Project,6,12,412,"2,477",7,8,3,2,311,"7,481","1,565","1,702",6,15,8,1,1,"45,029","10,639","55,668"
9,Rolex20,Gaming Stars Esports,6,12,379,"2,279",5,8,5,2,288,"8,767","1,800","1,125",5,14,7,1,0,"40,246","12,212","52,458"
10,Reizy,Bigetron by Vitality,5,11,430,"2,154",8,7,4,2.2,102,"7,904","1,584","1,008",4,17,15,3,2,"48,797","9,612","58,409"
11,Axel,Bigetron by Vitality,6,10,340,"2,042",9,6,0,1.67,209,"9,048","1,913","1,334",5,19,13,0,0,"73,077","9,789","82,866"
12,Yuseph,Gaming Stars Esports,6,10,280,"1,683",3,9,4,1.67,361,"8,770","1,458",777,5,17,11,0,1,"39,068","12,966","52,034"
13,Mani4c,Gaming Stars Esports,6,9,418,"2,510",6,11,1,1.5,294,"8,575","1,369",636,5,11,14,2,0,"47,172","11,229","58,401"
14,SLONIK,Wolves Esports,6,9,279,"1,679",0,9,1,1.5,55,"6,803","2,170","1,225",5,17,11,1,0,"37,615","8,931","46,546"
15,FrozeNNX,FUT Esports,6,9,261,"1,569",1,9,1,1.5,308,"8,260","1,417",672,6,12,23,3,0,"55,802","11,415","67,217"
16,EFFECT,TT Project,6,9,166,"1,000",6,7,2,1.5,113,"6,595","1,294","1,578",6,12,10,1,0,"45,001","8,987","53,988"
17,Swash,Gaming Stars Esports,6,8,366,"2,196",7,9,2,1.33,202,"8,830","1,165",679,5,10,11,1,0,"38,058","12,387","50,445"
18,Amoori,R8 Esports,6,8,307,"1,846",1,11,1,1.33,268,"6,931","1,487",560,6,9,8,0,0,"29,109","9,076","38,185"
19,Narvalow,The Vicious,6,7,281,"1,687",2,7,1,1.17,211,"6,278","1,258",554,5,16,9,2,0,"50,421","8,117","58,538"
20,NCSSRY,Wolves Esports,6,6,313,"1,880",2,7,1,1,279,"7,394","1,533",758,5,14,11,0,0,"33,978","8,577","42,555"
