Group Stage: Group A Statistics,,,,,,,,,,,,,,,,,,,,,,
#,Player,Team,"Matches
Played",Elims,"Avg. Dmg.
Dealt","Damage
Dealt",Assists,Knocks,"Head
Shots","KD
Ratio","Max Elim
Range","Survival
Time","Damage
Received","Healing
Done",Deaths,"Smokes
Used","Grenades
Used","Grenade
Elims","Airdrops
Taken","Distance
Driven","Distance
Walked","Distance
Traveled"
1,NoFear,Horaa Esports,6,19,566,"3,396",5,10,2,3.17,379,"5,977","1,163",956,5,16,13,1,0,"26,987","7,634","34,621"
2,SkY,Horaa Esports,6,15,481,"2,888",5,9,2,2.5,345,"4,737",938,577,5,10,16,3,0,"22,788","7,706","30,494"
3,SleepY,Horaa Esports,6,13,487,"2,924",7,11,5,2.17,325,"5,966","1,279",797,5,12,13,1,1,"24,081","8,238","32,319"
4,robbzOP,Boars Gaming,6,13,352,"2,112",2,7,0,2.17,29,"5,392","1,175",814,6,12,8,1,0,"22,988","6,827","29,815"
5,Lost,S2G Esports,6,12,270,"1,622",2,4,0,2,252,"3,925",831,222,4,5,9,4,0,"14,309","6,003","20,312"
6,Darkin,IDA Esports,6,11,440,"2,645",4,14,4,1.83,222,"5,043",793,294,6,16,6,1,0,"21,685","5,916","27,601"
7,Zeta,VOIN Esports,6,10,546,"3,277",1,9,4,1.67,303,"5,563","1,012","1,008",6,10,4,0,0,"32,279","6,652","38,931"
8,REFUS,Aurora Gaming,6,10,415,"2,490",3,10,1,1.67,229,"4,478","1,306","1,020",6,14,23,3,0,"19,415","6,837","26,252"
9,TernyK,eArena,6,10,334,"2,007",4,7,0,1.67,367,"5,483","1,303","1,195",4,25,14,1,0,"22,997","6,700","29,697"
10,Chieff,FURIA,6,10,285,"1,712",3,8,1,1.67,282,"4,309","1,068",264,6,6,6,1,0,"13,592","6,880","20,472"
11,Ayala,FURIA,6,9,355,"2,134",3,5,1,1.5,177,"4,769","1,041",403,6,11,2,1,0,"22,105","6,789","28,894"
12,Quick,AlUla Club Esports,6,9,324,"1,945",1,7,2,1.5,322,"4,254","1,066",466,6,8,7,1,0,"13,082","6,986","20,068"
13,Frenzzy,Team Pandum,6,9,294,"1,767",4,2,0,1.5,129,"5,932",667,829,5,16,8,3,0,"39,972","7,797","47,769"
14,Higor,FURIA,6,9,281,"1,691",1,7,2,1.5,335,"4,245","1,281",620,6,5,6,1,0,"26,337","4,539","30,876"
15,Zyol,Aurora Gaming,6,9,275,"1,651",4,10,1,1.5,351,"5,176","1,189",773,6,17,14,1,0,"28,215","6,461","34,676"
16,Snowix,Boars Gaming,6,8,333,"1,998",1,9,0,1.33,61,"5,708","1,149",982,6,21,14,0,2,"25,786","7,778","33,564"
17,Focus,GOAT Team,6,8,310,"1,862",4,5,1,1.33,334,"5,451",818,365,6,14,10,0,0,"21,322","8,561","29,883"
18,FALAK,4Thrives Esports,6,8,287,"1,723",2,5,1,1.33,152,"4,785","1,222",504,6,10,9,2,0,"28,562","6,457","35,019"
19,JooBrenky,Team Pandum,6,8,284,"1,704",5,7,2,1.33,114,"5,656",963,560,5,12,8,1,0,"28,210","7,807","36,017"
20,Emre7,IDA Esports,6,8,259,"1,557",5,5,1,1.33,182,"4,957","1,352",602,6,13,9,3,0,"21,656","6,277","27,933"
21,MORMAN,eArena,6,8,236,"1,419",1,5,1,1.33,170,"5,608",909,973,4,35,4,1,0,"32,592","6,603","39,195"
22,Swajn,IDA Esports,6,7,394,"2,368",5,5,0,1.17,114,"5,217","1,116",530,6,10,12,2,0,"22,453","5,802","28,255"
23,TOP,Aurora Gaming,6,7,382,"2,294",2,5,2,1.17,254,"5,259","1,389","1,031",6,4,7,0,0,"23,702","7,194","30,896"
24,IQ,4Thrives Esports,6,7,175,"1,055",0,4,0,1.17,236,"3,730","1,037",120,6,2,2,2,0,"30,002","4,288","34,290"
25,Rehan,721 Esports,6,7,172,"1,037",1,5,1,1.17,236,"4,748","1,010",393,6,13,6,1,0,"19,962","5,497","25,459"
26,Y4SR,AlUla Club Esports,6,7,160,965,1,2,0,1.17,164,"4,366",911,522,6,10,0,2,0,"16,105","5,002","21,107"
27,MALIK,721 Esports,6,6,267,"1,602",1,2,1,1,125,"3,879",817,186,6,4,0,0,0,"20,961","3,959","24,920"
28,FORCE,GOAT Team,6,6,255,"1,531",2,5,2,1,102,"5,514",910,328,6,18,4,0,0,"28,204","6,894","35,098"
29,LeonDZ,Team Pandum,6,6,250,"1,502",7,6,1,1,120,"4,618","1,078",879,5,6,8,2,0,"38,348","5,154","43,502"
30,T24OP,4Thrives Esports,6,6,248,"1,489",2,2,0,1,123,"4,132",986,179,6,3,0,0,0,"29,270","4,520","33,790"
31,Dimzy,Team Pandum,6,6,247,"1,482",3,7,1,1,107,"4,847",862,826,5,9,3,0,0,"24,735","6,343","31,078"
32,Zhius,Team Flash,6,6,201,"1,211",1,3,2,1,197,"3,482","1,083",965,6,11,9,0,0,"23,531","4,551","28,082"
33,win,Team Plash,6,6,187,"1,126",0,6,0,1,64,"3,125","1,087",968,6,9,6,2,0,"21,939","3,965","25,904"
34,JiGGL3,Horaa Esports,6,6,186,"1,119",3,3,1,1,281,"5,864","1,042",827,5,16,4,0,0,"39,018","7,301","46,319"
35,HamsiG,S2G Esports,6,5,223,"1,340",3,3,0,0.83,247,"3,998",661,109,4,1,5,0,0,"21,081","4,768","25,849"
36,Kamikaze,S2G Esports,6,5,173,"1,039",1,4,2,0.83,241,"3,979","1,041",335,4,3,0,0,2,"10,268","5,349","15,617"
37,Apkrino,ETSH Esports,6,5,168,"1,012",0,1,0,0.83,430,"4,691",900,429,6,7,2,1,0,"27,704","6,479","34,183"
38,Rita,IDA Esports,6,5,149,898,6,3,1,0.83,195,"5,250",890,682,6,7,2,1,1,"30,706","6,650","37,356"
39,WAGNERZADA,Boars Gaming,6,4,407,"2,444",5,4,3,0.67,203,"5,498",611,555,6,11,11,1,1,"25,463","5,400","30,863"
40,Bowz,Team Flash,6,4,200,"1,205",2,3,1,0.67,272,"3,907",904,952,6,19,4,0,0,"27,842","4,017","31,859"
41,Guizão,Alpha7 Esports,6,4,195,"1,170",4,5,0,0.67,169,"4,222",944,836,6,6,6,0,1,"25,125","5,821","30,946"
42,MOXXXYY,GOAT Team,6,4,193,"1,160",1,3,0,0.67,256,"3,689",776,171,6,8,10,1,0,"19,761","4,412","24,173"
43,Obscure,Alpha7 Esports,6,4,166,999,1,5,2,0.67,302,"3,816",645,514,6,4,0,0,0,"26,106","4,895","31,001"
44,HUZAIFA,4Thrives Esports,6,3,316,"1,900",3,7,1,0.5,185,"4,301",792,340,6,9,1,0,0,"30,051","5,986","36,037"
45,Silenceee,FURIA,6,3,230,"1,383",5,3,0,0.5,179,"4,111","1,567",706,6,10,4,1,0,"13,220","7,522","20,742"
46,Masko,721 Esports,6,3,203,"1,223",1,2,0,0.5,43,"4,683",979,203,6,6,4,0,0,"21,042","5,965","27,007"
47,Revo,Alpha7 Esports,6,3,197,"1,182",3,5,1,0.5,287,"3,987",836,368,6,5,5,0,0,"25,599","5,528","31,127"
48,FAHiTA,ETSH Esports,6,3,192,"1,156",2,4,0,0.5,6,"4,322",858,290,6,8,4,0,0,"26,139","4,540","30,679"
49,DOK,Aurora Gaming,6,3,182,"1,096",4,6,1,0.5,355,"4,733","1,144",702,6,9,10,0,0,"27,277","6,990","34,267"
50,KŁAWSINHO,AlUla Club Esports,6,3,178,"1,070",1,2,1,0.5,230,"3,840","1,431",709,6,11,2,0,1,"13,968","5,308","19,276"
51,SchwepXz,eArena,6,3,177,"1,062",4,1,1,0.5,232,"4,500","1,204",594,4,13,5,0,1,"25,970","7,081","33,051"
52,Jowker,eArena,6,3,158,948,1,1,1,0.5,81,"3,601",982,442,4,3,4,1,1,"25,579","5,457","31,036"
53,AYATO,GOAT Team,6,3,130,783,2,3,1,0.5,180,"5,038",967,356,6,10,8,0,0,"18,507","6,480","24,987"
54,Voxie,VOIN Esports,6,3,120,724,0,0,0,0.5,174,"4,023",998,718,6,6,2,0,0,"25,453","4,750","30,203"
55,Carrilho,Alpha7 Esports,6,3,67,405,2,1,1,0.5,111,"4,777",721,695,6,5,3,0,0,"28,027","6,875","34,902"
56,Boycil,VOIN Esports,6,2,174,"1,044",0,4,0,0.33,7,"5,558","1,160","1,089",6,11,3,0,0,"29,426","5,925","35,351"
57,Solkay,S2G Esports,6,2,118,712,5,0,0,0.33,254,"3,963",837,191,4,3,5,0,1,"18,529","4,926","23,455"
58,Terminuz,Boars Gaming,6,2,101,607,2,3,0,0.33,6,"5,423","1,002",847,6,8,3,0,0,"25,933","4,732","30,665"
59,ALEKO,721 Esports,6,2,100,602,1,2,1,0.33,166,"4,476",927,355,6,2,2,0,0,"23,334","6,528","29,862"
60,Potato,VOIN Esports,6,2,78,468,1,1,1,0.33,142,"4,819",826,636,6,8,1,0,0,"37,119","5,712","42,831"
61,Topz,Team Flash,6,1,124,749,2,2,0,0.17,46,"3,483",633,505,6,6,6,0,0,"27,706","3,903","31,609"
62,SPEED32,ETSH Esports,6,1,93,559,1,0,0,0.17,17,"4,529",801,190,6,6,1,1,0,"30,779","5,298","36,077"
63,NASSER,ETSH Esports,6,1,64,388,2,0,0,0.17,66,"4,608",891,229,6,6,2,1,0,"27,128","5,846","32,974"
64,R3B,AlUla Club Esports,6,0,109,659,3,3,0,0,0,"4,800",902,544,6,18,9,0,0,"20,939","5,420","26,359"
