Group Stage: Group A Elimination Rankings,,,,,,,
#,Player,Team,Elims,"Avg. Dmg.
Dealt",Assists,Knocks,"KD
Ratio"
1,NoFear,Horaa Esports,19,566,5,10,3.17
2,SkY,Horaa Esports,15,481,5,9,2.5
3,SleepY,Horaa Esports,13,487,7,11,2.17
4,robbzOP,Boars Gaming,13,352,2,7,2.17
5,Lost,S2G Esports,12,270,2,4,2
6,Darkin,IDA Esports,11,440,4,14,1.83
7,Zeta,VOIN Esports,10,546,1,9,1.67
8,REFUS,Aurora Gaming,10,415,3,10,1.67
9,TernyK,eArena,10,334,4,7,1.67
10,Chieff,FURIA,10,285,3,8,1.67
11,Ayala,FURIA,9,355,3,5,1.5
12,Quick,AlUla Club Esports,9,324,1,7,1.5
13,Frenzzy,Team Pandum,9,294,4,2,1.5
14,Higor,FURIA,9,281,1,7,1.5
15,Zyol,Aurora Gaming,9,275,4,10,1.5
16,Snowix,Boars Gaming,8,333,1,9,1.33
17,Focus,GOAT Team,8,310,4,5,1.33
18,FALAK,4Thrives Esports,8,287,2,5,1.33
19,JooBrenky,Team Pandum,8,284,5,7,1.33
20,Emre7,IDA Esports,8,259,5,5,1.33
21,MORMAN,eArena,8,236,1,5,1.33
22,Swajn,IDA Esports,7,394,5,5,1.17
23,TOP,Aurora Gaming,7,382,2,5,1.17
24,IQ,4Thrives Esports,7,175,0,4,1.17
25,Rehan,721 Esports,7,172,1,5,1.17
26,Y4SR,AlUla Club Esports,7,160,1,2,1.17
27,MALIK,721 Esports,6,267,1,2,1
28,FORCE,GOAT Team,6,255,2,5,1
29,LeonDZ,Team Pandum,6,250,7,6,1
30,T24OP,4Thrives Esports,6,248,2,2,1
31,Dimzy,Team Pandum,6,247,3,7,1
32,Zhius,Team Flash,6,201,1,3,1
33,win,Team Plash,6,187,0,6,1
34,JiGGL3,Horaa Esports,6,186,3,3,1
35,HamsiG,S2G Esports,5,223,3,3,0.83
36,Kamikaze,S2G Esports,5,173,1,4,0.83
37,Apkrino,ETSH Esports,5,168,0,1,0.83
38,Rita,IDA Esports,5,149,6,3,0.83
39,WAGNERZADA,Boars Gaming,4,407,5,4,0.67
40,Bowz,Team Flash,4,200,2,3,0.67
41,Guizão,Alpha7 Esports,4,195,4,5,0.67
42,MOXXXYY,GOAT Team,4,193,1,3,0.67
43,Obscure,Alpha7 Esports,4,166,1,5,0.67
44,HUZAIFA,4Thrives Esports,3,316,3,7,0.5
45,Silenceee,FURIA,3,230,5,3,0.5
46,Masko,721 Esports,3,203,1,2,0.5
47,Revo,Alpha7 Esports,3,197,3,5,0.5
48,FAHiTA,ETSH Esports,3,192,2,4,0.5
49,DOK,Aurora Gaming,3,182,4,6,0.5
50,KŁAWSINHO,AlUla Club Esports,3,178,1,2,0.5
51,SchwepXz,eArena,3,177,4,1,0.5
52,Jowker,eArena,3,158,1,1,0.5
53,AYATO,GOAT Team,3,130,2,3,0.5
54,Voxie,VOIN Esports,3,120,0,0,0.5
55,Carrilho,Alpha7 Esports,3,67,2,1,0.5
56,Boycil,VOIN Esports,2,174,0,4,0.33
57,Solkay,S2G Esports,2,118,5,0,0.33
58,Terminuz,Boars Gaming,2,101,2,3,0.33
59,ALEKO,721 Esports,2,100,1,2,0.33
60,Potato,VOIN Esports,2,78,1,1,0.33
61,Topz,Team Flash,1,124,2,2,0.17
62,SPEED32,ETSH Esports,1,93,1,0,0.17
63,NASSER,ETSH Esports,1,64,2,0,0.17
64,R3B,AlUla Club Esports,0,109,3,3,0
