Group Stage: Group A Standings,,,,,,
#,Team,"Matches
Played","Place
Points","Elim
Points",Chicken Dinners,"Total
Points"
1,Horaa Esports,6,22,53,1,75
2,eArena,6,24,24,2,48
3,Team Pandum,6,17,29,1,46
4,S2G Esports,6,20,24,2,44
5,Aurora Gaming,6,13,29,0,42
6,FURIA,6,10,31,0,41
7,Boars Gaming,6,13,27,0,40
8,IDA Esports,6,8,31,0,39
9,VOIN Esports,6,18,17,0,35
10,4Thrives Esports,6,8,24,0,32
11,GOAT Team,6,9,21,0,30
12,AlUla Club Esports,6,9,19,0,28
13,721 Esports,6,7,18,0,25
14,Team Flash,6,4,17,0,21
15,Alpha7 Esports,6,5,14,0,19
16,ETSH Esports,6,5,10,0,15
