Group Stage: Group B Elimination Rankings,,,,,,,
#,Player,Team,Elims,"Avg. Dmg.
Dealt",Assists,Knocks,"KD
Ratio"
1,Eren7,ULF Esports,17,607,9,22,2.83
2,FEDERALES,Bigetron by Vitality,17,565,10,20,2.83
3,Kecth,ULF Esports,15,443,6,13,2.5
4,NEOZ,TT Project,14,478,12,13,2.33
5,Yummy,BOOM Esports,14,466,3,15,2.33
6,Reyzak,Bigetron by Vitality,13,389,8,11,2.17
7,EZ4BADBOY,Geekay Esports,13,355,4,13,2.17
8,ZERYCH,TT Project,12,412,7,8,2
9,Rolex20,Gaming Stars Esports,12,379,5,8,2
10,Reizy,Bigetron by Vitality,11,430,8,7,2.2
11,Axel,Bigetron by Vitality,10,340,9,6,1.67
12,Yuseph,Gaming Stars Esports,10,280,3,9,1.67
13,Mani4c,Gaming Stars Esports,9,418,6,11,1.5
14,SLONIK,Wolves Esports,9,279,0,9,1.5
15,FrozeNNX,FUT Esports,9,261,1,9,1.5
16,EFFECT,TT Project,9,166,6,7,1.5
17,Swash,Gaming Stars Esports,8,366,7,9,1.33
18,Amoori,R8 Esports,8,307,1,11,1.33
19,Narvalow,The Vicious,7,281,2,7,1.17
20,NCSSRY,Wolves Esports,6,313,2,7,1
21,Elberryl,BOOM Esports,6,308,5,8,1
22,4YDO,Nigma Galaxy,6,303,3,8,1
23,Devil,XForce Rejects,6,237,3,6,1
24,Shiva,XForce Rejects,6,222,3,5,1
25,Baby,XForce Rejects,6,222,2,4,1
26,Coa77,The Vicious,6,194,4,6,1
27,Rafinha,Loops Esports,5,304,6,5,0.83
28,Vitinn,Loops Esports,5,266,4,8,0.83
29,B5eT,R8 Esports,5,265,5,6,0.83
30,Icy,The Vicious,5,260,2,5,0.83
31,Scarface,ULF Esports,5,192,5,3,0.83
32,LORD,Nigma Galaxy,5,184,3,4,0.83
33,Diego,Loops Esports,5,176,4,7,0.83
34,Fearless,Trained to Kill,5,150,2,6,0.83
35,Zwolf,FUT Esports,4,347,3,8,0.67
36,EFFYIS,TT Project,4,208,3,5,0.67
37,DORIN23,The Vicious,4,203,4,6,0.67
38,Law,Loops Esports,4,192,5,5,0.67
39,Baton,Wolves Esports,4,184,1,5,0.67
40,Igneous,Trained to Kill,4,170,2,3,0.67
41,Marth,R8 Esports,4,168,3,5,0.67
42,RAGNARoK,Geekay Esports,4,156,4,4,0.67
43,Firen,RRQ RYU,4,142,2,6,0.67
44,SAFG,Geekay Esports,4,130,3,3,0.67
45,Soulless,ULF Esports,3,287,5,7,0.5
46,KEVIN,Geekay Esports,3,266,6,6,0.5
47,Okta,BOOM Esports,3,248,4,4,0.5
48,SaTaN,Nigma Galaxy,3,217,2,6,0.5
49,Sanju,BOOM Esports,3,206,2,4,0.5
50,Lapar,RRQ RYU,3,143,4,3,0.5
51,RuLzSR,Trained to Kill,3,135,1,2,0.5
52,Reverb,XForce Rejects,3,134,2,6,0.5
53,Nerpehko,RRQ RYU,3,131,2,5,0.5
54,RAOUF,Nigma Galaxy,3,123,3,1,0.5
55,PrEStlGe,R8 Esports,3,107,2,4,0.5
56,Loco,Hustler Crew,3,104,0,3,0.5
57,GenFos,RRQ RYU,2,153,0,2,0.33
58,Lmntrixxx,Wolves Esports,2,139,1,1,0.33
59,Kein,FUT Esports,2,107,0,2,0.33
60,SlaYer,Trained to Kill,1,97,1,3,0.17
61,Vinnie,Hustler Crew,1,67,0,1,0.17
62,V3xxy,Bigetron by Vitality,1,64,0,1,1
63,KAL3Y,Hustler Crew,0,156,0,4,0
64,Swain,FUT Esports,0,62,3,1,0
65,AaZzMmm,Hustler Crew,0,39,0,1,0
