Group Stage: Group B Standings,,,,,,
#,Team,"Matches
Played","Place
Points","Elim
Points",Chicken Dinner,"Total
Points"
1,Bigetron by Vitality,6,30,52,1,82
2,ULF Esports,6,22,40,1,62
3,Gaming Stars Esports,6,21,39,1,60
4,TT Project,6,9,39,0,48
5,Geekay Esports,6,22,24,1,46
6,BOOM Esports,6,15,26,0,41
7,Wolves Esports,6,15,21,1,36
8,XForce Rejects,6,12,21,0,33
9,The Vicious,6,10,22,1,32
10,Loops Esports,6,8,19,0,27
11,R8 Esports,6,6,20,0,26
12,FUT Esports,6,8,15,0,23
13,Nigma Galaxy,6,3,17,0,20
14,Trained to Kill,6,5,13,0,18
15,RRQ RYU,6,0,12,0,12
16,Hustler Crew,6,6,4,0,10
