#,Participant,"Total
Points","Matches
Played",Points,,Averages,,,,Placement Summary,,,,,,Points Earned Summary,,,,,
,,,,Place,Elims,Placement,Place Pts.,Elims,Total Pts.,,,,Top 5,Top 8,> 8th,0,1 ~ 5,6 ~ 10,11 ~ 15,16 ~ 20,20+
1,ULF Esports,77,6,23,54,5.83,3.83,9,12.83,1,1,-,3,5,1,1,1,1,-,1,2
2,eArena,59,6,22,37,5.5,3.67,6.17,9.83,1,1,-,3,5,1,-,2,2,1,-,1
3,4Thrives Esports,42,6,16,26,9.17,2.67,4.33,7,1,-,1,2,3,3,1,3,-,1,1,-
4,Geekay Esports,40,6,21,19,6.67,3.5,3.17,6.67,1,-,2,3,4,2,2,1,2,-,1,-
5,FURIA,38,6,12,26,8.17,2,4.33,6.33,1,-,-,1,3,3,1,3,-,1,-,1
6,Bigetron by Vitality,36,6,12,24,8.17,2,4,6,-,1,-,2,3,3,1,3,-,2,-,-
7,TT Project,36,6,12,24,9,2,4,6,-,-,1,3,3,3,-,3,1,2,-,-
8,GOAT Team,34,6,13,21,6.83,2.17,3.5,5.67,-,-,1,3,4,2,1,3,1,1,-,-
9,Team Flash,33,6,14,19,7.17,2.33,3.17,5.5,1,-,-,2,3,3,1,3,1,-,1,-
10,721 Esports,28,6,11,17,10.33,1.83,2.83,4.67,-,1,1,2,2,4,2,2,1,-,1,-
11,Gaming Stars Esports,27,6,10,17,7.17,1.67,2.83,4.5,-,-,-,2,4,2,-,5,1,-,-,-
12,S2G Esports,26,6,10,16,9.83,1.67,2.67,4.33,-,1,-,2,2,4,2,1,3,-,-,-
13,BOOM Esports,24,6,7,17,9.83,1.17,2.83,4,-,1,-,1,2,4,2,3,-,1,-,-
14,Aurora Gaming,24,6,5,19,10.5,0.83,3.17,4,-,-,-,1,2,4,-,5,1,-,-,-
15,Horaa Esports,15,6,2,13,11.17,0.33,2.17,2.5,-,-,-,-,1,5,2,3,1,-,-,-
16,Team Pandum,6,6,2,4,10.67,0.33,0.67,1,-,-,-,-,2,4,2,4,-,-,-,-
