#,Participant,"Total
Points","Matches
Played",Points,,Averages,,,,Placement Summary,,,,,,Points Earned Summary,,,,,
,,,,Place,Elims,Placement,Place Pts.,Elims,Total Pts.,,,,Top 5,Top 8,> 8th,0,1 ~ 5,6 ~ 10,11 ~ 15,16 ~ 20,20+
1,4Thrives Esports,58,4,25,33,3.5,6.25,8.25,14.5,2,-,1,3,3,1,-,1,1,-,-,2
2,Aurora Gaming,45,4,19,26,4.75,4.75,6.5,11.25,1,-,1,3,3,1,-,1,1,-,2,-
3,S2G Esports,45,4,14,31,5.75,3.5,7.75,11.25,1,-,-,1,4,-,-,2,1,-,-,1
4,GOAT Team,33,4,10,23,7,2.5,5.75,8.25,-,1,-,2,3,1,-,1,2,1,-,-
5,FURIA,31,4,10,21,7.25,2.5,5.25,7.75,-,1,-,2,2,2,-,2,1,-,1,-
6,Team Flash,24,4,9,15,6,2.25,3.75,6,-,1,-,1,4,-,-,2,1,1,-,-
7,BOOM Esports,20,4,8,12,7,2,3,5,-,-,1,2,2,2,-,3,1,-,-,-
8,Team Pandum,19,4,11,8,7.5,2.75,2,4.75,-,1,-,2,3,1,1,1,2,-,-,-
9,eArena,17,4,5,12,10.75,1.25,3,4.25,-,-,1,1,1,3,-,3,1,-,-,-
10,TT Project,16,4,4,12,11.25,1,3,4,-,-,-,1,1,3,-,3,1,-,-,-
11,Horaa Esports,16,4,2,14,10,0.5,3.5,4,-,-,-,-,1,3,-,3,1,-,-,-
12,Gaming Stars Esports,15,4,5,10,10.25,1.25,2.5,3.75,-,-,-,1,2,2,1,2,1,-,-,-
13,Bigetron by Vitality,9,4,1,8,11,0.25,2,2.25,-,-,-,-,1,3,-,4,-,-,-,-
14,ULF Esports,8,4,3,5,8.75,0.75,1.25,2,-,-,-,1,1,3,2,2,-,-,-,-
15,721 Esports,8,4,0,8,14,0,2,2,-,-,-,-,-,4,-,4,-,-,-,-
16,Geekay Esports,7,4,2,5,11.25,0.5,1.25,1.75,-,-,-,-,1,3,1,3,-,-,-,-
