Participant,Total Points,Matches Played,Avg Placement,Avg Elims,Map
ULF Esports,77,6,5.83,9.0,Erangel
eArena,59,6,5.5,6.17,Erangel
4Thrives Esports,42,6,9.17,4.33,Erangel
Geekay Esports,40,6,6.67,3.17,Erangel
FURIA,38,6,8.17,4.33,Erangel
Bigetron by Vitality,36,6,8.17,4.0,Erangel
TT Project,36,6,9.0,4.0,Erangel
GOAT Team,34,6,6.83,3.5,Erangel
Team Flash,33,6,7.17,3.17,Erangel
721 Esports,28,6,10.33,2.83,Erangel
Gaming Stars Esports,27,6,7.17,2.83,Erangel
S2G Esports,26,6,9.83,2.67,Erangel
BOOM Esports,24,6,9.83,2.83,Erangel
Aurora Gaming,24,6,10.5,3.17,Erangel
Horaa Esports,15,6,11.17,2.17,Erangel
Team Pandum,6,6,10.67,0.67,Erangel
FURIA,28,2,7.0,9.0,Rondo
Horaa Esports,28,2,9.0,11.0,Rondo
BOOM Esports,27,2,4.5,10.0,Rondo
TT Project,25,2,6.5,7.5,Rondo
4Thrives Esports,22,2,7.0,9.0,Rondo
ULF Esports,19,2,4.0,5.5,Rondo
Gaming Stars Esports,17,2,7.5,7.5,Rondo
721 Esports,15,2,6.5,5.5,Rondo
S2G Esports,12,2,8.0,3.0,Rondo
Team Flash,12,2,8.5,5.5,Rondo
GOAT Team,8,2,10.0,2.5,Rondo
Bigetron by Vitality,8,2,13.5,4.0,Rondo
Geekay Esports,7,2,8.5,3.0,Rondo
eArena,7,2,11.0,3.5,Rondo
Team Pandum,5,2,13.5,2.5,Rondo
Aurora Gaming,4,2,11.0,1.0,Rondo
4Thrives Esports,58,4,3.5,8.25,Miramar
Aurora Gaming,45,4,4.75,6.5,Miramar
S2G Esports,45,4,5.75,7.75,Miramar
GOAT Team,33,4,7.0,5.75,Miramar
FURIA,31,4,7.25,5.25,Miramar
Team Flash,24,4,6.0,3.75,Miramar
BOOM Esports,20,4,7.0,3.0,Miramar
Team Pandum,19,4,7.5,2.0,Miramar
eArena,17,4,10.75,3.0,Miramar
TT Project,16,4,11.25,3.0,Miramar
Horaa Esports,16,4,10.0,3.5,Miramar
Gaming Stars Esports,15,4,10.25,2.5,Miramar
Bigetron by Vitality,9,4,11.0,2.0,Miramar
ULF Esports,8,4,8.75,1.25,Miramar
721 Esports,8,4,14.0,2.0,Miramar
Geekay Esports,7,4,11.25,1.25,Miramar
