#,Participant,"Total
Points","Matches
Played",Points,,Averages,,,,Placement Summary,,,,,,Points Earned Summary,,,,,
,,,,Place,Elims,Placement,Place Pts.,Elims,Total Pts.,,,,Top 5,Top 8,> 8th,0,1 ~ 5,6 ~ 10,11 ~ 15,16 ~ 20,20+
1,FURIA,28,2,10,18,7,5,9,14,1,-,-,1,1,1,-,1,-,-,-,1
2,Horaa Esports,28,2,6,22,9,3,11,14,-,1,-,1,1,1,-,1,-,-,-,1
3,BOOM Esports,27,2,7,20,4.5,3.5,10,13.5,-,-,1,1,2,-,-,-,1,-,1,-
4,TT Project,25,2,10,15,6.5,5,7.5,12.5,1,-,-,1,1,1,-,1,-,-,1,-
5,4Thrives Esports,22,2,4,18,7,2,9,11,-,-,-,1,1,1,-,1,-,-,1,-
6,ULF Esports,19,2,8,11,4,4,5.5,9.5,-,-,1,2,2,-,-,-,2,-,-,-
7,Gaming Stars Esports,17,2,2,15,7.5,1,7.5,8.5,-,-,-,-,2,-,-,-,2,-,-,-
8,721 Esports,15,2,4,11,6.5,2,5.5,7.5,-,-,-,1,1,1,-,1,-,1,-,-
9,S2G Esports,12,2,6,6,8,3,3,6,-,1,-,1,1,1,1,-,-,1,-,-
10,Team Flash,12,2,1,11,8.5,0.5,5.5,6,-,-,-,-,1,1,-,1,1,-,-,-
11,GOAT Team,8,2,3,5,10,1.5,2.5,4,-,-,-,1,1,1,-,1,1,-,-,-
12,Bigetron by Vitality,8,2,0,8,13.5,0,4,4,-,-,-,-,-,2,-,1,1,-,-,-
13,Geekay Esports,7,2,1,6,8.5,0.5,3,3.5,-,-,-,-,1,1,1,-,1,-,-,-
14,eArena,7,2,0,7,11,0,3.5,3.5,-,-,-,-,-,2,-,2,-,-,-,-
15,Team Pandum,5,2,0,5,13.5,0,2.5,2.5,-,-,-,-,-,2,-,2,-,-,-,-
16,Aurora Gaming,4,2,2,2,11,1,1,2,-,-,-,-,1,1,-,2,-,-,-,-
