Grand Finals Statistics,,,,,,,,,,,,,,,,,,,,,,
#,Player,Team,"Matches
Played",Elims,"Avg. Dmg.
Dealt","Damage
Dealt",Assists,Knocks,"Head
Shots","KD
Ratio","Max Elim
Range","Survival
Time","Damage
Received","Healing
Done",Deaths,"Smokes
Used","Grenades
Used","Grenade
Elims","Airdrops
Taken","Distance
Driven","Distance
Walked","Distance
Traveled"
1,Kecth,ULF Esports,12,27,420,"5,043",13,19,4,2.25,300,"16,876","2,924","1,719",11,23,28,5,1,"90,013","20,044","110,057"
2,Ayala,FURIA,12,22,371,"4,463",12,21,3,1.83,267,"15,674","3,930","2,696",10,50,33,3,1,"93,375","20,763","114,138"
3,HamsiG,S2G Esports,12,22,352,"4,232",7,20,3,1.83,356,"15,125","2,955","1,951",11,25,26,2,2,"94,693","19,319","114,012"
4,NEOZ,TT Project,12,21,321,"3,859",7,21,3,1.75,256,"12,954","2,508","1,131",11,18,11,3,0,"80,754","16,393","97,147"
5,Silenceee,FURIA,12,20,335,"4,030",15,21,5,1.67,266,"15,232","3,721","2,770",10,25,22,3,1,"78,127","22,704","100,831"
6,T24OP,4Thrives Esports,12,20,329,"3,951",13,17,4,1.67,299,"14,839","3,008","1,517",9,44,23,1,0,"70,141","18,358","88,499"
7,SkY,Horaa Esports,12,19,373,"4,482",10,20,6,1.58,302,"12,380","3,057","1,227",12,25,12,1,0,"76,064","16,617","92,681"
8,IQ,4Thrives Esports,12,19,349,"4,194",12,21,3,1.58,300,"14,589","3,019","1,434",9,36,16,4,0,"71,341","20,545","91,886"
9,Focus,GOAT Team,12,19,333,"3,998",6,19,4,1.58,216,"15,987","3,250","2,448",12,59,29,3,1,"117,246","20,704","137,950"
10,HUZAIFA,4Thrives Esports,12,19,300,"3,602",6,17,5,1.58,225,"14,311","3,349","1,195",9,30,21,2,0,"77,571","17,513","95,084"
11,FALAK,4Thrives Esports,12,19,297,"3,568",10,16,4,1.58,321,"13,381","3,443","1,219",9,52,30,7,0,"69,943","19,894","89,837"
12,Eren7,ULF Esports,12,19,287,"3,445",10,17,5,1.58,255,"14,612","2,902","1,154",11,35,19,2,1,"78,134","19,587","97,721"
13,Scarface,ULF Esports,12,18,361,"4,333",14,14,6,1.5,287,"15,221","3,453","1,649",11,34,37,3,1,"84,489","17,724","102,213"
14,Swash,Gaming Star Esports,12,17,337,"4,045",8,22,2,1.42,236,"14,212","2,632","1,210",12,22,13,1,0,"64,110","18,585","82,695"
15,DOK,Aurora Gaming,12,17,325,"3,908",7,17,4,1.42,235,"14,071","3,337","1,613",11,39,28,1,1,"87,505","21,044","108,549"
16,FORCE,GOAT Team,12,17,292,"3,511",8,15,1,1.42,380,"15,312","3,441","2,418",12,24,13,1,0,"113,621","19,979","133,600"
17,Kamikaze,S2G Esports,12,15,323,"3,879",6,19,2,1.25,147,"14,762","3,295","2,491",11,29,15,0,0,"104,173","17,700","121,873"
18,Yummy,BOOM Esports,12,15,305,"3,666",6,15,3,1.25,306,"14,222","2,814","1,514",12,36,13,2,0,"84,935","23,574","108,509"
19,Jowker,eArena,12,15,208,"2,507",11,11,6,1.25,293,"14,119","2,904","1,547",11,40,17,1,0,"87,340","19,758","107,098"
20,SchwepXz,eArena,12,14,227,"2,726",13,12,1,1.17,274,"14,253","2,968","1,452",11,28,11,3,1,"90,869","21,753","112,622"
21,MORMAN,eArena,12,14,213,"2,561",10,10,2,1.17,153,"14,782","2,583","1,798",11,51,17,1,0,"81,838","19,070","100,908"
22,Okta,BOOM Esports,12,13,328,"3,941",7,17,0,1.08,285,"13,394","3,139","1,360",12,15,20,5,1,"70,188","16,578","86,766"
23,SleepY,Horaa Esports,12,13,308,"3,698",5,22,3,1.08,248,"11,879","3,229","1,015",12,18,15,1,2,"62,918","16,385","79,303"
24,win,Team Flash,12,13,294,"3,537",5,15,3,1.08,388,"14,755","2,916","1,286",11,27,18,2,0,"81,388","16,576","97,964"
25,TernyK,eArena,12,13,263,"3,158",18,15,2,1.08,138,"14,746","2,417","1,411",11,48,27,5,0,"83,053","18,600","101,653"
26,NoFear,Horaa Esports,12,13,245,"2,944",3,13,2,1.08,381,"13,247","2,905","1,081",12,21,25,3,0,"69,636","17,883","87,519"
27,REFUS,Aurora Gaming,12,12,280,"3,367",11,17,1,1,204,"13,713","2,904","1,250",11,29,18,0,1,"71,653","22,345","93,998"
28,Elberryl,BOOM Esports,12,12,270,"3,245",8,11,3,1,174,"14,454","2,503","1,152",12,42,20,0,0,"69,970","19,739","89,709"
29,Reizy,Bigetron by Vitality,12,12,248,"2,979",9,16,2,1,163,"13,796","3,191","1,666",12,37,21,2,1,"122,893","14,965","137,858"
