Rank,Player,Team,Matches Played,Elims,Avg Dmg Dealt,Damage Dealt,Assists,Knocks,Headshots,KD Ratio,Max Elim Range,Survival Time,Damage Received,Healing Done,Deaths,Smokes Used,Grenades Used,Grenade Elims,Airdrops Taken,Distance Driven,Distance Walked,Distance Traveled
1.0,Kecth,ULF Esports,12.0,27.0,420.0,5043.0,13.0,19.0,4.0,2.25,300.0,16876.0,2924.0,1719.0,11.0,23.0,28.0,5.0,1.0,90013.0,20044.0,110057.0
2.0,Ayala,FURIA,12.0,22.0,371.0,4463.0,12.0,21.0,3.0,1.83,267.0,15674.0,3930.0,2696.0,10.0,50.0,33.0,3.0,1.0,93375.0,20763.0,114138.0
3.0,HamsiG,S2G Esports,12.0,22.0,352.0,4232.0,7.0,20.0,3.0,1.83,356.0,15125.0,2955.0,1951.0,11.0,25.0,26.0,2.0,2.0,94693.0,19319.0,114012.0
4.0,NEOZ,TT Project,12.0,21.0,321.0,3859.0,7.0,21.0,3.0,1.75,256.0,12954.0,2508.0,1131.0,11.0,18.0,11.0,3.0,0.0,80754.0,16393.0,97147.0
5.0,Silenceee,FURIA,12.0,20.0,335.0,4030.0,15.0,21.0,5.0,1.67,266.0,15232.0,3721.0,2770.0,10.0,25.0,22.0,3.0,1.0,78127.0,22704.0,100831.0
6.0,T24OP,4Thrives Esports,12.0,20.0,329.0,3951.0,13.0,17.0,4.0,1.67,299.0,14839.0,3008.0,1517.0,9.0,44.0,23.0,1.0,0.0,70141.0,18358.0,88499.0
7.0,SkY,Horaa Esports,12.0,19.0,373.0,4482.0,10.0,20.0,6.0,1.58,302.0,12380.0,3057.0,1227.0,12.0,25.0,12.0,1.0,0.0,76064.0,16617.0,92681.0
8.0,IQ,4Thrives Esports,12.0,19.0,349.0,4194.0,12.0,21.0,3.0,1.58,300.0,14589.0,3019.0,1434.0,9.0,36.0,16.0,4.0,0.0,71341.0,20545.0,91886.0
9.0,Focus,GOAT Team,12.0,19.0,333.0,3998.0,6.0,19.0,4.0,1.58,216.0,15987.0,3250.0,2448.0,12.0,59.0,29.0,3.0,1.0,117246.0,20704.0,137950.0
10.0,HUZAIFA,4Thrives Esports,12.0,19.0,300.0,3602.0,6.0,17.0,5.0,1.58,225.0,14311.0,3349.0,1195.0,9.0,30.0,21.0,2.0,0.0,77571.0,17513.0,95084.0
11.0,FALAK,4Thrives Esports,12.0,19.0,297.0,3568.0,10.0,16.0,4.0,1.58,321.0,13381.0,3443.0,1219.0,9.0,52.0,30.0,7.0,0.0,69943.0,19894.0,89837.0
12.0,Eren7,ULF Esports,12.0,19.0,287.0,3445.0,10.0,17.0,5.0,1.58,255.0,14612.0,2902.0,1154.0,11.0,35.0,19.0,2.0,1.0,78134.0,19587.0,97721.0
13.0,Scarface,ULF Esports,12.0,18.0,361.0,4333.0,14.0,14.0,6.0,1.5,287.0,15221.0,3453.0,1649.0,11.0,34.0,37.0,3.0,1.0,84489.0,17724.0,102213.0
14.0,Swash,Gaming Star Esports,12.0,17.0,337.0,4045.0,8.0,22.0,2.0,1.42,236.0,14212.0,2632.0,1210.0,12.0,22.0,13.0,1.0,0.0,64110.0,18585.0,82695.0
15.0,DOK,Aurora Gaming,12.0,17.0,325.0,3908.0,7.0,17.0,4.0,1.42,235.0,14071.0,3337.0,1613.0,11.0,39.0,28.0,1.0,1.0,87505.0,21044.0,108549.0
16.0,FORCE,GOAT Team,12.0,17.0,292.0,3511.0,8.0,15.0,1.0,1.42,380.0,15312.0,3441.0,2418.0,12.0,24.0,13.0,1.0,0.0,113621.0,19979.0,133600.0
17.0,Kamikaze,S2G Esports,12.0,15.0,323.0,3879.0,6.0,19.0,2.0,1.25,147.0,14762.0,3295.0,2491.0,11.0,29.0,15.0,0.0,0.0,104173.0,17700.0,121873.0
18.0,Yummy,BOOM Esports,12.0,15.0,305.0,3666.0,6.0,15.0,3.0,1.25,306.0,14222.0,2814.0,1514.0,12.0,36.0,13.0,2.0,0.0,84935.0,23574.0,108509.0
19.0,Jowker,eArena,12.0,15.0,208.0,2507.0,11.0,11.0,6.0,1.25,293.0,14119.0,2904.0,1547.0,11.0,40.0,17.0,1.0,0.0,87340.0,19758.0,107098.0
20.0,SchwepXz,eArena,12.0,14.0,227.0,2726.0,13.0,12.0,1.0,1.17,274.0,14253.0,2968.0,1452.0,11.0,28.0,11.0,3.0,1.0,90869.0,21753.0,112622.0
21.0,MORMAN,eArena,12.0,14.0,213.0,2561.0,10.0,10.0,2.0,1.17,153.0,14782.0,2583.0,1798.0,11.0,51.0,17.0,1.0,0.0,81838.0,19070.0,100908.0
22.0,Okta,BOOM Esports,12.0,13.0,328.0,3941.0,7.0,17.0,0.0,1.08,285.0,13394.0,3139.0,1360.0,12.0,15.0,20.0,5.0,1.0,70188.0,16578.0,86766.0
23.0,SleepY,Horaa Esports,12.0,13.0,308.0,3698.0,5.0,22.0,3.0,1.08,248.0,11879.0,3229.0,1015.0,12.0,18.0,15.0,1.0,2.0,62918.0,16385.0,79303.0
24.0,win,Team Flash,12.0,13.0,294.0,3537.0,5.0,15.0,3.0,1.08,388.0,14755.0,2916.0,1286.0,11.0,27.0,18.0,2.0,0.0,81388.0,16576.0,97964.0
25.0,TernyK,eArena,12.0,13.0,263.0,3158.0,18.0,15.0,2.0,1.08,138.0,14746.0,2417.0,1411.0,11.0,48.0,27.0,5.0,0.0,83053.0,18600.0,101653.0
26.0,NoFear,Horaa Esports,12.0,13.0,245.0,2944.0,3.0,13.0,2.0,1.08,381.0,13247.0,2905.0,1081.0,12.0,21.0,25.0,3.0,0.0,69636.0,17883.0,87519.0
27.0,REFUS,Aurora Gaming,12.0,12.0,280.0,3367.0,11.0,17.0,1.0,1.0,204.0,13713.0,2904.0,1250.0,11.0,29.0,18.0,0.0,1.0,71653.0,22345.0,93998.0
28.0,Elberryl,BOOM Esports,12.0,12.0,270.0,3245.0,8.0,11.0,3.0,1.0,174.0,14454.0,2503.0,1152.0,12.0,42.0,20.0,0.0,0.0,69970.0,19739.0,89709.0
29.0,Reizy,Bigetron by Vitality,12.0,12.0,248.0,2979.0,9.0,16.0,2.0,1.0,163.0,13796.0,3191.0,1666.0,12.0,37.0,21.0,2.0,1.0,122893.0,14965.0,137858.0
30.0,Zhius,Team Flash,12.0,12.0,235.0,2821.0,9.0,12.0,2.0,1.0,255.0,15841.0,2581.0,1070.0,11.0,31.0,9.0,0.0,0.0,98402.0,17166.0,115568.0
31.0,ZERYCH,TT Project,12.0,12.0,231.0,2777.0,10.0,10.0,1.0,1.0,375.0,14155.0,2505.0,897.0,11.0,26.0,12.0,0.0,0.0,68155.0,19403.0,87558.0
32.0,Higor,FURIA,12.0,12.0,220.0,2644.0,12.0,15.0,0.0,1.0,308.0,14812.0,3489.0,1958.0,10.0,36.0,18.0,2.0,2.0,105304.0,17222.0,122526.0
33.0,Axel,Bigetron by Vitality,12.0,12.0,194.0,2337.0,6.0,9.0,2.0,1.0,156.0,13940.0,2418.0,1301.0,12.0,29.0,8.0,1.0,0.0,164087.0,11448.0,175535.0
34.0,Rolex20,Gaming Star Esports,12.0,11.0,325.0,3903.0,9.0,19.0,3.0,0.92,247.0,13384.0,2362.0,1117.0,12.0,18.0,13.0,0.0,0.0,62346.0,18571.0,80917.0
35.0,MALIK,721 Esports,12.0,11.0,265.0,3190.0,5.0,15.0,2.0,0.92,248.0,12038.0,2964.0,1054.0,12.0,29.0,14.0,0.0,1.0,45528.0,15470.0,60998.0
36.0,Chieff,FURIA,12.0,11.0,265.0,3190.0,14.0,10.0,3.0,0.92,365.0,14849.0,3167.0,2004.0,10.0,30.0,11.0,0.0,0.0,85893.0,19237.0,105130.0
37.0,Rehan,721 Esports,12.0,11.0,253.0,3044.0,12.0,10.0,0.0,0.92,250.0,11927.0,2738.0,1227.0,12.0,25.0,15.0,3.0,0.0,47042.0,16946.0,63988.0
38.0,Masko,721 Esports,12.0,11.0,193.0,2319.0,8.0,14.0,2.0,0.92,308.0,12007.0,2667.0,723.0,12.0,28.0,11.0,0.0,0.0,48435.0,16650.0,65085.0
39.0,TOP,Aurora Gaming,12.0,10.0,363.0,4356.0,11.0,16.0,2.0,0.83,283.0,14446.0,3442.0,1781.0,11.0,18.0,13.0,0.0,0.0,69304.0,23248.0,92552.0
40.0,Bowz,Team Flash,12.0,10.0,243.0,2924.0,3.0,14.0,3.0,0.83,269.0,14867.0,2659.0,1054.0,11.0,31.0,8.0,1.0,0.0,67991.0,16599.0,84590.0
41.0,Reyzak,Bigetron by Vitality,12.0,10.0,204.0,2457.0,9.0,12.0,1.0,0.83,170.0,13658.0,2894.0,2108.0,12.0,22.0,11.0,1.0,0.0,108105.0,15048.0,123153.0
42.0,Topz,Team Flash,12.0,10.0,189.0,2277.0,6.0,14.0,3.0,0.83,288.0,15849.0,3559.0,1665.0,11.0,8.0,12.0,1.0,2.0,103661.0,19513.0,123174.0
43.0,EFFECT,TT Project,12.0,9.0,251.0,3012.0,8.0,13.0,2.0,0.75,91.0,14426.0,2626.0,1143.0,11.0,33.0,23.0,1.0,2.0,102981.0,16091.0,119072.0
44.0,EZ4BADBOY,Geekay Esports,12.0,9.0,208.0,2498.0,5.0,12.0,2.0,0.75,265.0,13519.0,3307.0,1755.0,11.0,10.0,12.0,0.0,1.0,81293.0,18462.0,99755.0
45.0,SAFG,Geekay Esports,12.0,9.0,185.0,2226.0,4.0,10.0,1.0,0.75,276.0,14183.0,2535.0,1399.0,11.0,17.0,19.0,1.0,0.0,76456.0,18936.0,95392.0
46.0,EFFYIS,TT Project,12.0,9.0,180.0,2163.0,6.0,10.0,4.0,0.75,287.0,14423.0,2211.0,923.0,11.0,23.0,12.0,1.0,0.0,79646.0,19756.0,99402.0
