Player,Team,Elims,"Avg. Dmg.
Dealt",Assists,Knocks,"KD
Ratio"
Kecth,ULF Esports,27,420,13,19,2.25
Ayala,FURIA,22,371,12,21,1.83
HamsiG,S2G Esports,22,352,7,20,1.83
NEOZ,TT Project,21,321,7,21,1.75
Silenceee,FURIA,20,335,15,21,1.67
T24OP,4Thrives Esports,20,329,13,17,1.67
SkY,Horaa Esports,19,373,10,20,1.58
IQ,4Thrives Esports,19,349,12,21,1.58
Focus,GOAT Team,19,333,6,19,1.58
HUZAIFA,4Thrives Esports,19,300,6,17,1.58
FALAK,4Thrives Esports,19,297,10,16,1.58
Eren7,ULF Esports,19,287,10,17,1.58
Scarface,ULF Esports,18,361,14,14,1.5
Swash,Gaming Star Esports,17,337,8,22,1.42
DOK,Aurora Gaming,17,325,7,17,1.42
FORCE,GOAT Team,17,292,8,15,1.42
Kamikaze,S2G Esports,15,323,6,19,1.25
Yummy,BOOM Esports,15,305,6,15,1.25
Jowker,eArena,15,208,11,11,1.25
SchwepXz,eArena,14,227,13,12,1.17
MORMAN,eArena,14,213,10,10,1.17
Okta,BOOM Esports,13,328,7,17,1.08
SleepY,Horaa Esports,13,308,5,22,1.08
win,Team Flash,13,294,5,15,1.08
TernyK,eArena,13,263,18,15,1.08
NoFear,Horaa Esports,13,245,3,13,1.08
REFUS,Aurora Gaming,12,280,11,17,1
Elberryl,BOOM Esports,12,270,8,11,1
Reizy,Bigetron by Vitality,12,248,9,16,1
Zhius,Team Flash,12,235,9,12,1
ZERYCH,TT Project,12,231,10,10,1
Higor,FURIA,12,220,12,15,1
Axel,Bigetron by Vitality,12,194,6,9,1
Rolex20,Gaming Star Esports,11,325,9,19,0.92
MALIK,721 Esports,11,265,5,15,0.92
Chieff,FURIA,11,265,14,10,0.92
Rehan,721 Esports,11,253,12,10,0.92
Masko,721 Esports,11,193,8,14,0.92
TOP,Aurora Gaming,10,363,11,16,0.83
Bowz,Team Flash,10,243,3,14,0.83
Reyzak,Bigetron by Vitality,10,204,9,12,0.83
Topz,Team Flash,10,189,6,14,0.83
EFFECT,TT Project,9,251,8,13,0.75
EZ4BADBOY,Geekay Esports,9,208,5,12,0.75
SAFG,Geekay Esports,9,185,4,10,0.75
EFFYIS,TT Project,9,180,6,10,0.75
Sanju,BOOM Esports,9,175,3,12,0.75
Solkay,S2G Esports,9,174,4,8,0.75
Mani4c,Gaming Star Esports,9,161,6,7,0.75
JooBrenky,Team Pandum,9,157,5,7,0.75
Zyol,Aurora Gaming,8,239,7,13,0.67
KEVIN,Geekay Esports,8,155,3,8,0.67
AYATO,GOAT Team,7,227,10,8,0.58
Lost,S2G Esports,7,132,10,3,0.58
FEDERALES,Bigetron by Vitality,6,232,13,12,0.5
Soulless,ULF Esports,6,187,14,8,0.5
MOXXXYY,GOAT Team,6,151,9,5,0.5
Yuseph,Gaming Star Esports,5,257,8,4,0.42
RAGNARoK,Geekay Esports,4,192,8,6,0.33
LeonDZ,Team Pandum,4,109,3,6,0.33
JiGGL3,Horaa Esports,4,83,5,3,0.33
ALEKO,721 Esports,3,99,6,6,0.25
Frenzzy,Team Pandum,3,80,1,4,0.25
Dimzy,Team Pandum,1,75,0,4,0.08
