Rank,Team,Matches Played,Place Points,Elim Points,Chicken Dinners,Total Points,Stage
1.0,Horaa Esports,6.0,22.0,53.0,1.0,75.0,Group A
2.0,eArena,6.0,24.0,24.0,2.0,48.0,Group A
3.0,Team Pandum,6.0,17.0,29.0,1.0,46.0,Group A
4.0,S2G Esports,6.0,20.0,24.0,2.0,44.0,Group A
5.0,Aurora Gaming,6.0,13.0,29.0,0.0,42.0,Group A
6.0,FURIA,6.0,10.0,31.0,0.0,41.0,Group A
7.0,Boars Gaming,6.0,13.0,27.0,0.0,40.0,Group A
8.0,IDA Esports,6.0,8.0,31.0,0.0,39.0,Group A
9.0,VOIN Esports,6.0,18.0,17.0,0.0,35.0,Group A
10.0,4Thrives Esports,6.0,8.0,24.0,0.0,32.0,Group A
11.0,GOAT Team,6.0,9.0,21.0,0.0,30.0,Group A
12.0,AlUla Club Esports,6.0,9.0,19.0,0.0,28.0,Group A
13.0,721 Esports,6.0,7.0,18.0,0.0,25.0,Group A
14.0,Team Flash,6.0,4.0,17.0,0.0,21.0,Group A
15.0,Alpha7 Esports,6.0,5.0,14.0,0.0,19.0,Group A
16.0,ETSH Esports,6.0,5.0,10.0,0.0,15.0,Group A
1.0,Bigetron by Vitality,6.0,30.0,52.0,1.0,82.0,Group B
2.0,ULF Esports,6.0,22.0,40.0,1.0,62.0,Group B
3.0,Gaming Stars Esports,6.0,21.0,39.0,1.0,60.0,Group B
4.0,TT Project,6.0,9.0,39.0,0.0,48.0,Group B
5.0,Geekay Esports,6.0,22.0,24.0,1.0,46.0,Group B
6.0,BOOM Esports,6.0,15.0,26.0,0.0,41.0,Group B
7.0,Wolves Esports,6.0,15.0,21.0,1.0,36.0,Group B
8.0,XForce Rejects,6.0,12.0,21.0,0.0,33.0,Group B
9.0,The Vicious,6.0,10.0,22.0,1.0,32.0,Group B
10.0,Loops Esports,6.0,8.0,19.0,0.0,27.0,Group B
11.0,R8 Esports,6.0,6.0,20.0,0.0,26.0,Group B
12.0,FUT Esports,6.0,8.0,15.0,0.0,23.0,Group B
13.0,Nigma Galaxy,6.0,3.0,17.0,0.0,20.0,Group B
14.0,Trained to Kill,6.0,5.0,13.0,0.0,18.0,Group B
15.0,RRQ RYU,6.0,0.0,12.0,0.0,12.0,Group B
16.0,Hustler Crew,6.0,6.0,4.0,0.0,10.0,Group B
1.0,Team Flash,6.0,28.0,41.0,2.0,69.0,Survival Stage
2.0,GOAT Team,6.0,21.0,39.0,1.0,60.0,Survival Stage
3.0,4Thrives Esports,6.0,15.0,42.0,1.0,57.0,Survival Stage
4.0,721 Esports,6.0,20.0,25.0,0.0,45.0,Survival Stage
5.0,AlUla Club Esports,6.0,12.0,32.0,0.0,44.0,Survival Stage
6.0,Nigma Galaxy,6.0,14.0,26.0,1.0,40.0,Survival Stage
7.0,FUT Esports,6.0,10.0,30.0,1.0,40.0,Survival Stage
8.0,Loops Esports,6.0,11.0,28.0,0.0,39.0,Survival Stage
9.0,Wolves Esports,6.0,10.0,26.0,0.0,36.0,Survival Stage
10.0,The Vicious,6.0,7.0,24.0,0.0,31.0,Survival Stage
11.0,IDA Esports,6.0,8.0,21.0,0.0,29.0,Survival Stage
12.0,VOIN Esports,6.0,15.0,9.0,0.0,24.0,Survival Stage
13.0,XForce Rejects,6.0,11.0,10.0,0.0,21.0,Survival Stage
14.0,Boars Gaming,6.0,7.0,12.0,0.0,19.0,Survival Stage
15.0,Trained to Kill,6.0,2.0,16.0,0.0,18.0,Survival Stage
16.0,R8 Esports,6.0,1.0,11.0,0.0,12.0,Survival Stage
