Survival Stage Statistics,,,,,,,,,,,,,,,,,,,,,,
#,Player,Team,"Matches
Played",Elims,"Avg. Dmg.
Dealt","Damage
Dealt",Assists,Knocks,"Head
Shots","KD
Ratio","Max Elim
Range","Survival
Time","Damage
Received","Healing
Done",Deaths,"Smokes
Used","Grenades
Used","Grenade
Elims","Airdrops
Taken","Distance
Driven","Distance
Walked","Distance
Traveled"
1,Zhius,Team Flash,6,18,452,"2,712",4,15,5,3,235,"8,043","1,122",461,4,20,11,3,0,"31,647","11,375","43,022"
2,FALAK,4Thrives Esports,6,15,284,"1,707",3,9,4,2.5,222,"7,461","1,876",627,5,20,13,3,1,"38,644","11,028","49,672"
3,Y4SR,AlUla Club Esports,6,14,390,"2,342",5,13,4,2.33,173,"8,171","1,415",609,6,13,6,1,0,"48,993","9,090","58,083"
4,Focus,GOAT Team,6,13,342,"2,056",4,12,2,2.17,335,"8,327","1,567",658,5,24,17,0,0,"44,838","12,016","56,854"
5,Vitinn,Loops Esports,6,13,306,"1,841",5,9,3,2.17,216,"8,655","1,694",967,6,23,16,1,0,"61,016","9,090","70,106"
6,AYATO,GOAT Team,6,12,433,"2,602",8,11,2,2,324,"8,444","1,326",611,5,22,20,2,0,"41,439","10,251","51,690"
7,FORCE,GOAT Team,6,12,362,"2,175",8,9,2,2,351,"8,246","1,631",748,5,18,8,0,0,"44,427","9,819","54,246"
8,NCSSRY,Wolves Esports,6,11,435,"2,615",7,12,2,1.83,207,"7,675","1,683","1,042",6,14,14,0,0,"25,944","11,359","37,303"
9,T24OP,4Thrives Esports,6,11,386,"2,316",8,12,1,1.83,217,"7,722","1,484",756,5,18,7,1,0,"45,371","10,031","55,402"
10,DORIN23,The Vicious,6,11,296,"1,779",4,9,2,1.83,195,"7,580","1,091",433,6,7,4,0,2,"59,839","7,159","66,998"
11,SaTaN,Nigma Galaxy,6,10,279,"1,677",6,11,0,1.67,110,"6,938","1,245",500,5,11,18,2,0,"28,843","10,784","39,627"
12,Masko,721 Esports,6,10,245,"1,475",3,7,1,1.67,251,"8,310","1,538",450,6,10,4,1,0,"34,027","10,260","44,287"
13,win,Team Flash,6,9,380,"2,280",4,10,0,1.5,366,"8,540","1,518",902,4,28,26,1,1,"29,710","10,807","40,517"
14,HUZAIFA,4Thrives Esports,6,9,364,"2,187",4,11,1,1.5,71,"7,193","1,214",559,5,28,22,2,1,"37,904","9,702","47,606"
15,Diego,Loops Esports,6,9,347,"2,082",6,9,2,1.5,127,"8,587","1,414",704,6,13,12,1,0,"51,333","9,621","60,954"
