Survival Stage Elimination Rankings,,,,,,,
#,Player,Team,Elims,"Avg. Dmg.
Dealt",Assists,Knocks,"KD
Ratio"
1,Zhius,Team Flash,18,452,4,15,3
2,FALAK,4Thrives Esports,15,284,3,9,2.5
3,Y4SR,AlUla Club Esports,14,390,5,13,2.33
4,Focus,GOAT Team,13,342,4,12,2.17
5,Vitinn,Loops Esports,13,306,5,9,2.17
6,AYATO,GOAT Team,12,433,8,11,2
7,FORCE,GOAT Team,12,362,8,9,2
8,NCSSRY,Wolves Esports,11,435,7,12,1.83
9,T24OP,4Thrives Esports,11,386,8,12,1.83
10,DORIN23,The Vicious,11,296,4,9,1.83
11,SaTaN,Nigma Galaxy,10,279,6,11,1.67
12,Masko,721 Esports,10,245,3,7,1.67
13,win,Team Flash,9,380,4,10,1.5
14,HUZAIFA,4Thrives Esports,9,364,4,11,1.5
15,Diego,Loops Esports,9,347,6,9,1.5
16,Topz,Team Flash,9,325,8,7,1.5
17,FrozeNNX,FUT Esports,9,261,4,6,1.5
18,LORD,Nigma Galaxy,8,485,8,13,1.33
19,Zwolf,FUT Esports,8,284,6,6,1.33
20,Kein,FUT Esports,8,186,3,5,1.33
21,KŁAWSINHO,AlUla Club Esports,8,176,5,9,1.33
22,Emre7,IDA Esports,7,312,3,8,1.17
23,Fearless,Trained to Kill,7,256,1,6,1.17
24,IQ,4Thrives Esports,7,217,5,7,1.17
25,MALIK,721 Esports,6,239,2,4,1
26,R3B,AlUla Club Esports,6,169,5,5,1
27,Rita,IDA Esports,6,156,0,5,1
28,RuLzSR,Trained to Kill,6,112,0,5,1
29,Bowz,Team Flash,5,374,9,7,0.83
30,Swajn,IDA Esports,5,366,1,7,0.83
31,Swain,FUT Esports,5,302,8,8,0.83
32,Baton,Wolves Esports,5,225,4,10,0.83
33,4YDO,Nigma Galaxy,5,225,5,9,0.83
34,SLONIK,Wolves Esports,5,215,6,3,0.83
35,Icy,The Vicious,5,205,3,3,0.83
36,robbzOP,Boars Gaming,5,197,3,5,0.83
37,Rehan,721 Esports,5,164,4,4,0.83
38,Lmntrixxx,Wolves Esports,5,144,3,6,0.83
39,Law,Loops Esports,4,283,6,6,0.67
40,Coa77,The Vicious,4,282,8,8,0.67
41,Quick,AlUla Club Esports,4,278,9,5,0.67
42,REDOX,The Vicious,4,172,2,4,0.67
43,Amoori,R8 Esports,4,152,3,4,0.67
44,ALEKO,721 Esports,4,149,2,5,0.67
45,Shiva,XForce Rejects,4,131,0,3,0.67
46,RAOUF,Nigma Galaxy,3,199,2,5,0.5
47,WAGNERZADA,Boars Gaming,3,182,0,4,0.5
48,Igneous,Trained to Kill,3,178,3,4,0.5
49,Reverb,XForce Rejects,3,169,0,3,0.5
50,Marth,R8 Esports,3,167,2,5,0.5
51,Darkin,IDA Esports,3,157,1,5,0.5
52,Potato,VOIN Esports,3,144,4,3,0.5
53,Snowix,Boars Gaming,3,139,2,2,0.5
54,B5eT,R8 Esports,2,312,1,3,1
55,Boycil,VOIN Esports,2,186,1,7,0.33
56,Rafinha,Loops Esports,2,182,6,2,0.33
57,Zeta,VOIN Esports,2,180,1,2,0.33
58,MOXXXYY,GOAT Team,2,176,8,2,0.33
59,Voxie,VOIN Esports,2,160,2,2,0.33
60,Baby,XForce Rejects,2,106,0,3,0.33
61,PrEStlGe,R8 Esports,1,95,2,2,0.17
62,SKTON,R8 Esports,1,67,1,1,0.25
63,Terminuz,Boars Gaming,1,62,1,0,0.17
64,Devil,XForce Rejects,1,54,3,1,0.17
65,SlaYer,Trained to Kill,0,38,2,0,0
