Survival Stage Standings,,,,,,
#,Team,"Matches
Played","Place
Points","Elim
Points",Chicken Dinner,"Total
Points"
1,Team Flash,6,28,41,2,69
2,GOAT Team,6,21,39,1,60
3,4Thrives Esports,6,15,42,1,57
4,721 Esports,6,20,25,0,45
5,AlUla Club Esports,6,12,32,0,44
6,Nigma Galaxy,6,14,26,1,40
7,FUT Esports,6,10,30,1,40
8,Loops Esports,6,11,28,0,39
9,Wolves Esports,6,10,26,0,36
10,The Vicious,6,7,24,0,31
11,IDA Esports,6,8,21,0,29
12,VOIN Esports,6,15,9,0,24
13,XForce Rejects,6,11,10,0,21
14,Boars Gaming,6,7,12,0,19
15,Trained to Kill,6,2,16,0,18
16,R8 Esports,6,1,11,0,12
