Rank,Team,Total Points,Survival Time,Damage Received,Healing Done,Avg Dmg Dealt,Damage Dealt,Assists,Knocks,Headshots,Max Elim Range,Smokes Used,Grenades Used,Grenade Elims,Teammates Rescued,Airdrops Taken,Distance Driven,Distance Walked,Distance Traveled
1.0,4Thrives Esports,122.0,57120.0,12819.0,5365.0,1276.0,15315.0,41.0,71.0,16.0,321.0,162.0,90.0,14.0,17.0,0.0,288996.0,76310.0,365306.0
2.0,ULF Esports,104.0,60351.0,12109.0,5662.0,1255.0,15071.0,51.0,58.0,16.0,300.0,109.0,99.0,12.0,13.0,3.0,339387.0,75024.0,414411.0
3.0,FURIA,97.0,60567.0,14307.0,9428.0,1193.0,14327.0,53.0,67.0,11.0,365.0,141.0,84.0,8.0,22.0,4.0,362699.0,79926.0,442625.0
4.0,S2G Esports,83.0,58415.0,12016.0,7865.0,982.0,11792.0,27.0,50.0,7.0,356.0,110.0,73.0,2.0,16.0,4.0,392030.0,72844.0,464874.0
5.0,eArena,83.0,57900.0,10872.0,6208.0,912.0,10952.0,52.0,48.0,11.0,293.0,167.0,72.0,10.0,12.0,1.0,343100.0,79181.0,422281.0
6.0,TT Project,77.0,55958.0,9850.0,4094.0,984.0,11811.0,31.0,54.0,10.0,375.0,100.0,58.0,5.0,11.0,2.0,331536.0,71643.0,403179.0
7.0,GOAT Team,75.0,60290.0,12342.0,9110.0,1004.0,12059.0,33.0,47.0,9.0,380.0,146.0,73.0,4.0,22.0,1.0,457520.0,74460.0,531980.0
8.0,Aurora Gaming,73.0,55466.0,12852.0,6236.0,1208.0,14507.0,36.0,63.0,11.0,283.0,114.0,92.0,3.0,11.0,3.0,313377.0,85091.0,398468.0
9.0,BOOM Esports,71.0,57202.0,10673.0,5058.0,1080.0,12960.0,24.0,55.0,8.0,306.0,121.0,62.0,8.0,11.0,2.0,310908.0,79833.0,390741.0
10.0,Team Flash,69.0,61312.0,11715.0,5075.0,963.0,11559.0,23.0,55.0,11.0,388.0,97.0,47.0,4.0,13.0,2.0,351442.0,69854.0,421296.0
11.0,Gaming Stars Esports,59.0,53636.0,10614.0,4696.0,1080.0,12968.0,31.0,52.0,9.0,269.0,84.0,56.0,4.0,11.0,2.0,236975.0,77310.0,314285.0
12.0,Horaa Esports,59.0,49276.0,11662.0,4099.0,1010.0,12121.0,23.0,58.0,12.0,381.0,80.0,55.0,5.0,13.0,2.0,293405.0,66211.0,359616.0
13.0,Geekay Esports,54.0,55246.0,11972.0,7247.0,741.0,8896.0,20.0,36.0,6.0,301.0,74.0,79.0,1.0,13.0,2.0,313555.0,77420.0,390975.0
14.0,Bigetron by Vitality,53.0,55443.0,12056.0,7481.0,880.0,10561.0,37.0,49.0,6.0,170.0,113.0,57.0,4.0,15.0,1.0,513997.0,56898.0,570895.0
15.0,721 Esports,51.0,46229.0,11808.0,4117.0,812.0,9747.0,31.0,45.0,4.0,308.0,101.0,48.0,3.0,10.0,1.0,187696.0,66988.0,254684.0
16.0,Team Pandum,30.0,47981.0,11354.0,4847.0,422.0,5072.0,9.0,21.0,5.0,119.0,58.0,26.0,2.0,13.0,1.0,286620.0,57655.0,344275.0
