Rank,Participant,Total Points,MPe Game,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Game 7 P,Game 7 K,Game 8 P,Game 8 K,Game 9 P,Game 9 K,Game 10 P,Game 10 K,Game 11 P,Game 11 K,Game 12 P,Game 12 K
1st,4Thrives,122,Game 8,10th,2,1st,9,3rd,8,16th,0,1st,16,1st,12,4th,16,14th,5,8th,1,13th,3,9th,1,3rd,4
2nd,ULF Esports,104,Game 11,3rd,5,7th,5,1st,13,15th,0,9th,3,12th,0,5th,6,6th,3,2nd,17,4th,16,5th,2,9th,0
3rd,FURIA,97,,1st,16,8th,10,12th,0,12th,2,4th,3,10th,2,13th,2,9th,3,1st,11,7th,0,13th,3,2nd,13
4th,S2G Esports,83,,14th,0,15th,0,2nd,3,13th,6,8th,4,8th,3,2nd,6,4th,5,16th,0,9th,2,1st,17,6th,7
5th,eArena,83,,11th,4,2nd,6,6th,8,11th,5,14th,2,11th,4,11th,3,1st,12,5th,6,8th,0,3rd,5,15th,1
6th,TT Project,77,,12th,5,16th,1,15th,1,3rd,4,12th,2,13th,4,1st,10,5th,9,4th,7,11th,2,4th,5,16th,1
7th,GOAT Team,75,,5th,4,6th,1,5th,2,5th,9,2nd,4,5th,9,15th,1,12th,0,10th,4,3rd,5,14th,2,7th,8
8th,Aurora,73,,16th,2,13th,4,10th,5,4th,5,3rd,12,4th,6,6th,0,15th,2,7th,2,14th,1,11th,1,1st,7
9th,BOOM Esports,71,,6th,6,10th,2,9th,4,8th,2,5th,2,3rd,4,3rd,14,16th,0,14th,0,2nd,9,10th,3,10th,3
10th,Team Flash,69,,9th,2,5th,5,7th,2,9th,1,7th,2,7th,6,8th,9,10th,0,11th,2,1st,9,2nd,7,8th,0
11th,Gaming Stars,59,,8th,7,11th,1,4th,4,6th,3,15th,0,6th,3,7th,8,8th,4,9th,5,5th,0,15th,4,5th,3
11th,Horaa Esports,59,,2nd,17,14th,0,11th,3,10th,1,11th,1,9th,3,16th,5,13th,4,13th,0,6th,5,6th,6,14th,4
13th,Geekay,54,,7th,6,9th,0,8th,3,1st,9,6th,3,15th,1,10th,0,3rd,4,3rd,3,16th,0,12th,1,12th,0
14th,Bigetron,53,,15th,1,4th,8,13th,3,14th,0,10th,4,16th,1,12th,7,2nd,7,6th,2,10th,4,7th,1,11th,2
15th,721 Esports,51,,4th,9,3rd,5,16th,1,2nd,10,13th,3,14th,3,9th,2,11th,1,15th,0,15th,0,16th,1,13th,1
16th,Pandum,30,,13th,1,12th,1,14th,0,7th,0,16th,0,2nd,1,14th,4,7th,1,12th,0,12th,2,8th,1,4th,6
