Rank,Participant,Total Points,MPe Game,Game 1 P,Game 1 K,Game 2 P,Game 2 K,Game 3 P,Game 3 K,Game 4 P,Game 4 K,Game 5 P,Game 5 K,Game 6 P,Game 6 K,Game 7 P,Game 7 K,Game 8 P,Game 8 K,Game 9 P,Game 9 K,Game 10 P,Game 10 K,Game 11 P,Game 11 K,Game 12 P,Game 12 K,Total Kill Points,Total Placement Points
1,4Thrives,122,Game 8,10,2,1,9,3,8,16,0,1,16,1,12,4,16,14,5,8,1,13,3,9,1,3,4,77,45
2,ULF Esports,104,Game 11,3,5,7,5,1,13,15,0,9,3,12,0,5,6,6,3,2,17,4,16,5,2,9,0,70,34
3,FURIA,97,,1,16,8,10,12,0,12,2,4,3,10,2,13,2,9,3,1,11,7,0,13,3,2,13,65,32
4,S2G Esports,83,,14,0,15,0,2,3,13,6,8,4,8,3,2,6,4,5,16,0,9,2,1,17,6,7,53,30
5,eArena,83,,11,4,2,6,6,8,11,5,14,2,11,4,11,3,1,12,5,6,8,0,3,5,15,1,56,27
6,TT Project,77,,12,5,16,1,15,1,3,4,12,2,13,4,1,10,5,9,4,7,11,2,4,5,16,1,51,26
7,GOAT Team,75,,5,4,6,1,5,2,5,9,2,4,5,9,15,1,12,0,10,4,3,5,14,2,7,8,49,26
8,Aurora,73,,16,2,13,4,10,5,4,5,3,12,4,6,6,0,15,2,7,2,14,1,11,1,1,7,47,26
9,BOOM Esports,71,,6,6,10,2,9,4,8,2,5,2,3,4,3,14,16,0,14,0,2,9,10,3,10,3,49,22
10,Team Flash,69,,9,2,5,5,7,2,9,1,7,2,7,6,8,9,10,0,11,2,1,9,2,7,8,0,45,24
11,Gaming Stars,59,,8,7,11,1,4,4,6,3,15,0,6,3,7,8,8,4,9,5,5,0,15,4,5,3,42,17
11,Horaa Esports,59,,2,17,14,0,11,3,10,1,11,1,9,3,16,5,13,4,13,0,6,5,6,6,14,4,49,10
13,Geekay,54,,7,6,9,0,8,3,1,9,6,3,15,1,10,0,3,4,3,3,16,0,12,1,12,0,30,24
14,Bigetron,53,,15,1,4,8,13,3,14,0,10,4,16,1,12,7,2,7,6,2,10,4,7,1,11,2,40,13
15,721 Esports,51,,4,9,3,5,16,1,2,10,13,3,14,3,9,2,11,1,15,0,15,0,16,1,13,1,36,15
16,Pandum,30,,13,1,12,1,14,0,7,0,16,0,2,1,14,4,7,1,12,0,12,2,8,1,4,6,17,13
